tweet,dates
"💻 The @ASBA and @AZChamber launched the CARES Act Readiness Program for Small Businesses, a training for small business owners submitting loan applications under new CARES Act programs. Sign up below. #AZ01 https://t.co/zndNDi6QYp",2020-05-10 01:30:00
"This week, I spoke directly w/ #AZ01 vets during a virtual town hall meeting. If you are a veteran w/ questions about your benefits or accessing care from the VA during the COVID-19 pandemic, I encourage you to visit my website for resources &amp; info.",2020-05-09 22:15:00
WATCH: I spoke with @KGUN9 about the work I am doing to secure funding for #AZ01 families and small businesses in the next legislative package to address the COVID-19 pandemic. https://t.co/zGvYrcvFF9,2020-05-09 18:45:00
"ICYMI: I fought to include #AZ01 tribal enterprises with under 500 employees under eligibility for Paycheck Protection Program loans. Late last month, the Treasury heeded our call and amended rule guidance to allow it. More: https://t.co/QRnPT2xgIr",2020-05-09 02:30:00
I’m pleased Governor Ducey reversed course and that the Arizona Department of Health Services will continue to work with U of A and ASU coronavirus researchers to build Arizona-specific datasets on when we can safely reopen our economy. #AZ01 lives are at stake. 1/2,2020-05-08 21:42:01
"Today is #MilitarySpouseAppreciationDay and the 75th anniversary of #VEDay. Today, join me in thanking a veteran in your life, and honoring the sacrifices made by our brave servicemembers, their spouses, &amp; their families. https://t.co/8ES5j4yd1y",2020-05-08 18:18:20
"Our next COVID-19 package must include investments in:

🚑 rural health care
💼 small businesses
📡 high-speed broadband
🏛️ funding for state, local, &amp; tribal governments
🏥 tribal needs
or #AZ01 rural communities will once again be left behind.

My op-ed:",2020-05-08 15:23:34
"My office is here to assist you with the challenges you &amp; your family may be facing due to the coronavirus pandemic. If you need assistance with unemployment benefits, direct payments, or other federal programs, I encourage you to contact my office. #AZ01 https://t.co/UocOZzRl3j",2020-05-08 03:00:00
"Without federal government investment &amp; oversight, we will likely prolong this crisis and place significant strains on our health system, our economy, &amp; our way of life. 

We need a clear federal approach to deploying COVID-19 testing. #AZ01 https://t.co/hJSmW49jdL",2020-05-07 23:45:00
Getting the hang of this Zoom thing! Spoke with @RogelioKGUN9 about next steps for the House of Reps in responding to this ongoing public health emergency. Tune into @kgun9 tonight at 10 for more. #AZ01 https://t.co/fTkT7rDR1X,2020-05-07 22:57:10
