tweet,dates
"Yesterday, I spoke with Donovan Harris about reopening the economy and moving forward as we navigate this pandemic! 

https://t.co/MtIv7EFy4W",2020-05-06 13:20:48
"Through the CARES Act, The Department of Social Services was recently awarded federal grant money to help offset the cost of child care for the families of some essential workers. 

To learn more, click below ⇣
https://t.co/g0XYajqIdl",2020-05-05 13:23:50
"Speaker Pelosi and House Dems have yet to come up with a plan to “establish a clear, safe, &amp; effective plan for reopening the House of Representatives.”

So, this morning Republican leadership put together a plan to reopen the House of Representatives. ↓

https://t.co/lHRXSv3Cew",2020-05-04 13:29:06
"The Main Street Lending Program, unveiled earlier this month by the Federal Reserve, will now allow larger businesses to participate, and it will relax minimum-loan amounts to help more small businesses that have been hit by the coronavirus pandemic. 

https://t.co/fAHYSvIkjr",2020-04-30 14:28:06
"Public beach access is officially reopened in Myrtle Beach! Short term rentals could follow later this week.

Local gov’ts are working hard to reopen safely. 

Please enjoy our beautiful beaches, but also maintain social distancing and proper hygiene!

https://t.co/rD5sEU9nYF",2020-04-29 12:50:18
"74% of all loans processed by the SBA for #PPP were for less than $150,000 and that the overwhelming majority went to companies with less than 10 employees.

https://t.co/dtEDTk0LNx",2020-04-28 23:23:17
"Tomorrow, April 28 at 1 PM- 

Coastal Carolina University’s Dyer Institute for Leadership and Public Policy is holding a webinar to clearly present details and potential benefits of the CARES Act, including how it may affect the CCU community.

Be sure to register! https://t.co/Z36gzRGbrw",2020-04-27 21:41:21
"PPP TODAY- 

The #PaycheckProtectionProgram will begin accepting applications again at 10:30 this morning! 

Small businesses needing relief can learn more below ⬇️

https://t.co/Y8tOjebSXl",2020-04-27 14:16:58
"SC- 
The application process for PUA started yesterday!  Self-employed, gig workers, contractors, 1099s and individuals not eligible for regular UI, or the first program of the CARES Act, can now begin the self-service process to receive funds through PUA.
https://t.co/pEJYbbkZOx",2020-04-25 15:20:12
"USTR has confirmed that Mexico and Canada have taken the necessary measures to be in compliance with the agreement and USMCA will enter into effect on July 1!

USMCA is a tremendous improvement for our businesses, farmers, manufacturers, and innovators!",2020-04-24 21:58:01
". @realDonaldTrump signed the Paycheck Protection Program and Health Care Enhancement Act that was passed in the House yesterday. 

Thanks to this legislation- 
✔️Replenishes PPP funding for our small businesses 
✔️Supports our healthcare providers
✔️Expands coronavirus testing",2020-04-24 17:53:58
"Thankful we replenished crucial funding for the  #PaycheckProtectionProgram so that our small businesses can continue to receive the support they need. 

Behind every small business is a family!",2020-04-23 22:43:12
"TODAY- April 23, 3:00 PM

The South Carolina Department of Employment and Workforce is hosting a virtual meeting to discuss Unemployment Information and other coronavirus response resources for employers. 

Register here: https://t.co/UQPDbAi8Hl",2020-04-23 14:37:46
"POSTPONED-

The IRS Webinar for Main Street Businesses and Workers originally scheduled for this afternoon has been postponed!

You can still preregister for the event by clicking below.

https://t.co/pXgQOstonx",2020-04-23 13:51:35
"Don’t wait to file! Qualifying taxpayers can file from home today at no cost, using IRS-sponsored #FreeFile.

Go to https://t.co/MQlIxm7Mgq.",2020-04-22 17:48:34
"The IRS is hosting a webinar for Main Street Businesses and worker’s on April 23rd at 2 PM. 

This will be a chance for you to ask questions directly to the IRS about COVID19 relief and other topics. 

Register by clicking below ⬇️

https://t.co/pXgQOstonx",2020-04-22 17:01:28
"Starting today through May 5, Mcdonald’s will be providing a free Thank You Meal to first responders and healthcare workers that have committed themselves to keeping others safe!

https://t.co/oxdhxK7k9g",2020-04-22 16:17:18
"Local swimwear manufacturer, Tara Grinna Swim &amp; Resort Wear, stepped up to sew new elastic bands on 35,000 never used N95 respirators. They were donated to Tidelands Health team members responding to the coronavirus pandemic!

https://t.co/Cc6kOdhno7",2020-04-20 20:25:33
"Four days ago the #PaycheckProtectionProgram funding lapsed. Democrats have continued to block renewed funding. 

This week, I hope my colleagues will work together to move forward and provide the relief our small businesses need.",2020-04-20 18:45:45
"The Department of Employment and Workforce has created a video about unemployment benefits for the self-employed! 
https://t.co/fgmJBD21NX https://t.co/6gPb3q07EU",2020-04-20 15:49:56
"South Carolina received 100,000 N95 masks that were delivered on April 11. Great work by Apple for supporting those that are protecting us! https://t.co/ZCtsWLH3V3",2020-04-17 14:56:54
"Social distancing, staying at home, and working from home are not easily made adjustments. 

But, friends, IT IS ABSOLUTELY WORKING! 

Social distancing really does flatten the curve. 

We will keep fighting this virus together, and we will win!

https://t.co/cD05cTdvF3",2020-04-16 18:18:47
"The #PaycheckProtectionProgram has run out of funding. 

It’s time for @HouseDemocrats to stop playing partisan games and renew funding. 

Small businesses are the backbone of our economy and need relief now!",2020-04-16 15:59:01
"South Carolina has received 14,273 loans through the Paycheck Protection Program totaling nearly  $2.8 billion for small businesses in our state! 

This is a prime example of why we need renewed funding for the program, but Democrats continue to play games and block the funding.",2020-04-14 22:05:54
❗️Important do’s &amp; don’ts for face coverings ❗️ https://t.co/sqQxUHH0If,2020-04-14 14:50:26
"Be sure to be on the lookout for a surge of call and email scams about coronavirus and stimulus payments. These scams can lead to tax fraud and identity theft. 

See below for tips from the IRS on how to avoid these scams!

https://t.co/yLyDkJjqDQ",2020-04-14 14:15:51
Stay alert and stay safe! ⛈ https://t.co/AscIe7i4rT,2020-04-13 15:30:54
"My office has created a coronavirus update page for all the resources and information you might be looking for! 

To see updates and more, visit: https://t.co/eB9KKPY1C7",2020-04-13 14:36:39
"The greatest severe weather risk for the Grand Strand is between 7:30 to 11:30 a.m., forecasters at NWS Wilmington said. 

We have a strong emergency response.  Make sure to stay in touch with loved ones as we battle coronavirus and storms. 

https://t.co/SzZE23gaQK",2020-04-13 14:28:33
"Next week the IRS and Treasury are launching a Get My Payment app where you will be able to enter your bank account information &amp; check the status of your money!

https://t.co/a9EtRc7uYM",2020-04-11 15:38:35
"Thank you to all of the men and women working to keep us all healthy, especially today on #WorldHealthDay 

You’re saving lives in the fight against this awful virus. Thank you! https://t.co/9QCBVINj1q",2020-04-07 16:27:41
"More private companies stepping up to help our healthcare workers on the frontlines! Thank you @Apple! 

https://t.co/Qtqfpj6cAj",2020-04-07 15:28:55
"Even though we are social distancing, I know many of you are looking for ways to help the community. 

From volunteering to donating, click below to see how you can help support your communities! 

Stay home and stay healthy! 

https://t.co/KcZRuTh4PO",2020-04-06 14:20:06
"The Chinese government cost Americans 10 million jobs in just two weeks. 

They must be held accountable for their lack of transparency, secrecy, and propaganda against the US military.",2020-04-03 12:37:05
"Tidelands Health and the American Red Cross are teaming up to help replenish a blood supply shortage during the coronavirus pandemic!

https://t.co/6mpw1fcouJ",2020-04-01 21:59:08
"“We’re going to have a rough quarter...When we reopen we’ll be ready, and the economy will surge back,” said Secretary of Treasury Steve Mnuchin. 

https://t.co/jO0Tg1Pek9",2020-03-31 12:27:59
"Today @henrymcmaster ordered the closure of all public access points to the state’s beaches, all boat ramps, landings, rivers and waterways.

While this is unfortunate, it is necessary to protect the health and well-being of those in the community.

Stay home and stay healthy!",2020-03-31 00:42:32
"Today is #NationalDoctorsDay! Thank you for the hard work and dedication you have shown, especially during this time while on the front lines of pandemic! 

You are making a difference in our communities. 

Join me in thanking a doctor today!",2020-03-30 15:09:01
"I’ll be on the Dave Priest show this morning at 8:30 to talk about coronavirus response efforts, stimulus checks, and small business loans. Tune in below!

https://t.co/mHOiqMxVHx",2020-03-30 11:56:29
"Great ways to help out your community during this time! #InItTogether 

https://t.co/sfWyO8EbkD",2020-03-29 13:14:32
"Great to see South Carolina organizations coming together to support families during this pandemic. 

https://t.co/JAQ6l4UnLb",2020-03-28 17:14:16
"Abott Laboratories has produced a test for coronavirus that delivers results in as little as five minutes. 

Abott plans to provide 50,000 tests per day starting April 1st. They are small, portable, and can be used in almost any healthcare setting. 

https://t.co/31UDG5U1eT",2020-03-28 17:09:30
"The CARES Act provides:

✔️direct cash payments to Americans
✔️grants and loans for small businesses
✔️relief to healthcare professionals

While this bill is not perfect, it provides relief to those who need it and helps revitalize the economy! 

We will win this fight.",2020-03-27 19:44:12
"Great to see companies like Bank of America working hard to make things easier for those struggling during this pandemic. 

https://t.co/Pk6dRK3eew",2020-03-27 19:39:59
I co-sponsored this resolution because China needs to be held accountable for their secrecy and lack of transparency in the handling of COVID-19. https://t.co/S201g8zy7O,2020-03-24 17:28:46
"American citizens are looking to @SpeakerPelosi, as a leader, for help. 

Speaker Pelosi is withholding aide to Americans, while prioritizing wind and solar tax credits, and federal takeover of local elections. 

It’s time for the games to end. Americans deserve better.",2020-03-24 16:53:08
"More masks, face shields, and gloves are on the way! Awesome teamwork by Harbor Freight. #InItTogether https://t.co/TZCvBjqwGt",2020-03-24 14:07:14
"Why is gas still $2 per gallon?  

Oil has dropped from $52 to $22 per barrel in the last 30 days. Gas should be $1 per gallon, not $2!

People are losing their jobs.  People are worried about financial survival.  Why are the oil companies gouging us?!?",2020-03-22 22:38:37
"Small business and tourism are the back bone of the economy, especially in South Carolina. 

Yesterday, I sent a letter to Leadership asking that the tourism industry be given $100 billion to support them during this pandemic. https://t.co/ZxIDJYqGhc",2020-03-22 17:02:15
"Food pick-up and delivery are highly encouraged, and several Grand Strand and Pee Dee area restaurants are offering new ways to serve customers while avoiding crowds. 

#InItTogether

https://t.co/XpCHWgYPwx",2020-03-20 00:18:29
"Today is #CertifiedNursesDay! 

Now, more than ever, we honor our nurses and their sacrifice, dedication, and service. Nurses are out on the front lines of patient care everyday. 

Thank you so much for all you do to keep us healthy. https://t.co/3tTrgBCVfj",2020-03-19 22:43:51
"#Covid19 and the flu can show very similar symptoms. 

However, they are caused by very different viruses. 

To learn more, visit: https://t.co/c7aDwqWJQZ https://t.co/oi2GcFiLOr",2020-03-18 17:09:25
"Just in ➡️ Tax Day postponed 90 days! 

https://t.co/Vku0CoxU7k",2020-03-17 23:29:08
"Important for Small Businesses-

@SBAgov is offering support and loan resources to small businesses in order to keep employees, customers, and themselves healthy and successful. 

To learn more: https://t.co/dwvTKU0lRx",2020-03-17 17:32:23
"This is why #SocialDistancing works. 
https://t.co/5pawLdl38j",2020-03-16 21:29:51
"Social distancing is the best way to prevent further spread of #COVID19. @CDC suggests:

🔹Maintaining a distance between yourself and others 
🔹Avoid hugging and shaking hands
🔹Avoid large crowds and gatherings 
🔹Stay home if you are sick https://t.co/uDpCZX2BU0",2020-03-16 16:59:35
This morning at @HHSGov my @WaysandMeansGOP colleagues and I heard from @SecAzar on the steps being taken by @realDonaldTrump and @VP to prevent the spread of #coronavirus. https://t.co/6ZM127gqHq,2020-03-10 15:10:54
".@MUSCTelehealth is offering a free urgent, virtual care platform for people in South Carolina experiencing mild to moderate flu like symptoms. 

To log on, visit: https://t.co/kJdlqMusV2 
Enter code: COVID19",2020-03-07 18:34:01
"As Justice Roberts said, a threat from the Senate Minority Leader against Supreme Court Justices to “pay the price” is divisive and dangerous.

 https://t.co/KtDkQgpbyg",2020-03-05 17:14:44
"The House just passed $7.8 billion for emergency #Coronavirus spending. 

I’m happy that Democrats finally put the partisan politics aside, so we could put the health and safety of Americans first.",2020-03-04 22:06:21
"✅ 50-year low unemployment rate
✅ Exceptional GDP growth at 2.5%
✅ Millions of new jobs 

The economy is thriving because of TCJA and the Trump Administration’s regulatory reform agenda, especially for blue-collar Americans! https://t.co/KWP9Luw38e",2020-03-03 15:58:18
"I’m monitoring the spread of #COVID19 as it continues to make an impact. My colleagues and I will keep working to ensure the safety of all Americans. 

For up-to-date information on Coronavirus, visit https://t.co/Cl1lnfi6Vf https://t.co/xfZMafS9QZ",2020-03-02 20:23:48
Exciting time tonight on Air Force One with @realDonaldTrump and the South Carolina delegation! https://t.co/25HGGjERyU,2020-02-29 05:58:49
. @realDonaldTrump has the chutzpah to take on China! https://t.co/1Cl9Mmfm7g,2020-02-26 18:29:03
Thanks @stevescalise for the King Cake! As you can tell we didn’t care for it too much! 😂 https://t.co/wJjEGgvoWq,2020-02-25 22:43:22
"It’s unconscionable that House Democrats have blocked a bill that would end Infanticide 80+ times. This should not be a partisan issue. 

I urge my colleagues in the Senate to stand with @realdonaldtrump in protecting the life of unborn children. #BornAliveAct",2020-02-25 19:22:23
"Happy Valentine's Day! With a forever Valentine like Wrenzie and an economy like this, what's not to love? https://t.co/Yfs05olttI",2020-02-14 19:27:26
"1/2: For the past five months, Democrats have wasted American tax dollars and time in their attempt to overturn the 2016 election. The President has a responsibility to make sure our foreign aid is not lost to corruption.",2020-02-05 22:35:10
"#SOTU Selfie with our true hero, Investigator Sarah Miller, while we wait for the President! @POTUS https://t.co/OV0uqWCf2O",2020-02-05 02:04:48
