tweet,dates
"Yesterday I got to help kick off the #RoadTo30 with @enric_sala, a virtual event emphasizing the importance of passing my #30by30 initiative to conserve 30% of our land and water by 2030 and halt the nature crisis. Check it out: https://t.co/VzpTh8ZB13",2020-05-20 19:33:05
"I led the way on a letter pushing VP Pence to get PPE and testing to wildland firefighters. As fire season approaches, we need to make sure these brave first responders who keep us safe are healthy and strong enough to do so. https://t.co/dxRMCGGaWY",2020-05-20 18:40:43
"Virtual public meetings &amp; closed comment periods aren't fair to rural &amp; Tribal communities who often lack broadband access &amp; need to focus on the pandemic.

@Interior must extend comment periods, not make rash decisions about development on sensitive land. https://t.co/KdB2bMpVVJ",2020-05-20 16:16:22
"So many New Mexicans have been calling my office asking us to help #SaveUSPS. There are 3,000+ postal workers in New Mexico and thousands upon thousands more people who depend on the postal service every day. The Senate must get @USPS the relief it needs— this is urgent. https://t.co/oCMSwp2j6p",2020-05-19 21:02:28
"New Mexico depends on health care workers. Thank you to all the #ImmigrantHealthHeroes in NM &amp; across the U.S. who have dedicated themselves to making this country a better place by keeping people healthy.

I have heard many of their stories firsthand. They deserve our support.",2020-05-19 20:26:19
Excited to join my good friend @enric_sala for an event to kick off the #RoadTo30—emphasizing the importance of passing my #30by30 initiative to conserve 30% of our land and water by 2030 and halt the nature crisis. Watch live: https://t.co/VzpTh8ZB13,2020-05-19 19:01:55
".@thenewmexican is right. We need to protect the Gila River, which is an irreplaceable treasure of the Southwest and an important part of our state’s outdoor economy.  That’s why @martinheinrich and I introduced legislation to #ProtectTheGila: https://t.co/85y7x2a6or",2020-05-19 14:49:25
"The Senate must take immediate additional action to help people through the #COVID19 pandemic. We cannot wait.

@senatemajldr has said he doesn’t see the urgency of the situation—well, the American people do. They are struggling, and it is our responsibility to act.",2020-05-19 14:11:56
"Once again, Donald Trump and his administration show their utter disregard for transparency and ethics by firing an Inspector General in the middle of an investigation: https://t.co/MbZZJR0UyS",2020-05-18 16:20:42
Looking forward to joining @WstrnPriorities &amp; @SierraClub to discuss our #30by30 goal to protect 30% of America’s lands and waters by 2030. Want to tune in? RSVP here: https://t.co/cHZ2kZ6jds,2020-05-15 18:41:30
"The FISA bill is going back to the House, meaning we have another chance to fix this bill to truly protect people’s right to privacy. Americans shouldn’t have to worry about the government looking over their shoulders while they are on the internet. https://t.co/3CILi02ymc",2020-05-15 16:01:49
"Tens of millions of Americans are unemployed &amp; scared about taking care of their families during this crisis.
 
But the Trump admin. is proceeding w/a harmful SNAP rule that will take food away from people who need it. This is unconscionable. #HandsOffSNAP https://t.co/X6qC8ZwgCL",2020-05-15 15:32:14
"Proud to announce $77 million to New Mexico for expanded #COVID19 testing and contact tracing, key to restarting our economy and a safe return to normal life.
 
This funding is critical. The Trump administration must step up our national testing &amp; contact tracing infrastructure.",2020-05-14 21:50:40
The president’s political agenda against the @USPS is wrong and dangerous. Higher package rates make it much harder for working Americans to get what they need —@USPS is a vital public service and we need to provide relief to make sure it stays that way. https://t.co/RCLxagN2ge,2020-05-14 21:17:11
"#COVID19 cases in NM ICE detention are drastically increasing. Last month we called on ICE to reduce mass detention for the safety of detainees, staff &amp; all New Mexicans, but we haven't heard back.
 
@ICEgov needs to act humanely. Lives are in danger. https://t.co/MDFn98rvuR",2020-05-14 19:17:20
I’m proud to join all @senatedems on an amicus brief to #SCOTUS arguing in favor of saving the #ACA and protecting health care for hundreds of millions of Americans. Republican efforts to dismantle the Affordable Care Act would be devastating for New Mexico and the nation. https://t.co/8CcigePsqV,2020-05-14 18:48:49
Yesterday @martinheinrich and I participated in a @krqe Town Hall to answer important questions about the #COVID19 response: https://t.co/YPC8WSvXiV,2020-05-14 15:41:13
WATCH LIVE: I'm on the Senate floor speaking out about the opportunity to reform FISA and protect our constitutional rights. Let's reject the false choice between our civil liberties and our security. https://t.co/GesNsiGcAN,2020-05-14 15:18:29
"Nancy Beck, the president’s pick to lead the consumer safety board, is a former chemical industry executive— and now it’s revealed that she helped block the release of CDC guidelines for safe re-opening. A person who silences science shouldn’t be our top consumer watchdog. https://t.co/6RHaKtYfur",2020-05-14 13:44:39
"I wrote to @CDCgov urging them to issue public health guidance on safety measures to keep voters, poll workers, and election workers safe during upcoming elections. People shouldn’t have to choose between their health and exercising their right to vote. https://t.co/6a7UZp3LEp",2020-05-13 19:12:35
"1 in 5 Americans will experience a mental illness in a given year, and many of us have loved ones who depend on mental health services.

But right now behavioral health providers are struggling when people need them most. Let's #FundMentalHealth so no one gets left behind.",2020-05-13 17:10:29
The Gila River is an irreplaceable New Mexico treasure. That’s why @MartinHeinrich &amp; I have introduced legislation to permanently protect the Gila—to safeguard this incredible outdoor space for future generations and strengthen local economies. Learn more: https://t.co/lHeJbwRzFr,2020-05-12 16:15:29
".@senatemajldr says he doesn’t see the urgency for another #COVID19 relief bill, but let's look at the facts.
 
People across the nation are struggling to feed their families, living in fear of getting sick, and need relief. Let’s do our jobs &amp; help them. https://t.co/yYObpBMmuR",2020-05-12 15:17:54
"During times like these, the importance of preserving our outdoor treasures—and the peace, beauty, and economic benefits they provide—could not be more clear. Let’s come together to pass the bill @MartinHeinrich &amp; I introduced to #ProtectTheGila: https://t.co/UvetOd93TM",2020-05-12 14:41:31
Tribes are getting hit hard by the coronavirus and they know how best to protect their communities. I urge states to work with Tribes as good neighbors and respect Tribal sovereignty. And the United States’ trust and treaty obligations must be upheld. https://t.co/vHMdBysEqR,2020-05-11 21:02:49
"This @washingtonpost editorial is spot on. It’s time for us to make a plan to ensure the American people can exercise their right to vote safely, or else chaos could ensue. Congress must help states by filling funding gaps so the planning happens now: https://t.co/aepI1foWDT",2020-05-11 19:55:16
Time and time again the Trump administration fails to uphold its responsibilities to Tribes— and that is especially dangerous during a pandemic. It must do better. Read my op-ed in @abqjournal: https://t.co/ybRUml8kbq,2020-05-11 17:10:50
"Wishing a happy #MothersDay to all the incredible and dedicated moms in New Mexico and across the country today—including my amazing wife, Jill. I hope this is a day filled with joy shared with your families and loved ones. Thank you for all that you do.",2020-05-10 15:20:11
"We just finished our first week back in DC, and I’m ready to work on helping New Mexicans through the #COVID19 crisis. Senate Republican leaders need to let the Senate get to work on bold legislation to fight this pandemic. https://t.co/PtMQwPjv4h",2020-05-08 20:10:27
"This week the Senate passed a resolution from @lisamurkowski and I honoring Native women. From working on the front lines during #COVID19 to serving in highest levels of gov't &amp; Tribal leadership, Native women make indelible contributions to our communities every day. Thank you.",2020-05-08 19:23:48
"This is why we need much more state, tribal &amp; local gov’t relief in the next #COVID19 bill. We also need:
 
➡️Monthly direct payments &amp; extend expanded unemployment benefits for the duration of the crisis
➡️A national service plan
 
More info: https://t.co/L6CumukTig",2020-05-08 18:45:11
"I introduced a bill this week to expand National Service options to combat the COVID-19 crisis. We can help put people to work through service— growing the economy while assisting communities in New Mexico and across the nation, especially in rural communities and Indian Country.",2020-05-08 17:44:11
"Nurses are the heartbeat of our health care system, and in the midst of this pandemic, nurses are putting their lives on the line to fight #COVID19 in NM &amp; across the nation.

This National Nurses Week, let’s renew our commitment to honoring our nation’s nurses every single day. https://t.co/9WBs9fhpUL",2020-05-08 16:25:28
"Vets exposed to burn pits face greater risks from #COVID19. We need more resources to treat them and get the help they need, and to ensure that the VA has adequate PPE and support to get through this crisis. https://t.co/4FI1zDYQcT",2020-05-07 21:08:15
"I am deeply disappointed that @POTUS vetoed our resolution to prevent unconstitutional war w/ Iran, and that the Senate did not override his veto to protect the Constitution.
 
But there is bipartisan momentum behind this effort. The American people do not want a war with Iran.",2020-05-07 19:15:52
The Trump administration has the worst environmental record in history. And their rollbacks continue during the pandemic. This article lays out in detail how they have put the profits of polluters ahead of clean air and water. Shameful. https://t.co/wl8aomuFbk,2020-05-07 16:49:19
