tweet,dates
"80,000 #COVID19 deaths in America. This could have been avoided had the Trump Administration responded early and with urgency.",2020-05-09 23:56:48
"“Latinos suffered staggering job losses and have been the hardest hit by the economic thrashing dealt by the coronavirus pandemic, which blew a hole in the employment gap between Hispanics and white Americans.”

https://t.co/rHa5KuGDdn",2020-05-09 22:14:08
"Have you completed the #2020Census? It only takes a few minutes to fill out, but your community will feel its impact for decades. From your schools and roads to your hospitals, your participation will shape the future of your community. #GetCounted

https://t.co/Ti7zXS6juL",2020-05-08 20:40:01
"La ventaja de estar en casa es que todos podemos completar el #Census2020. Es fácil de hacer pero increíblemente importante:

Aquí hay 3 formas de completarlo:
💻En línea en https://t.co/zDdYEBp42E
📞Por teléfono - 844-330-2020
✉️o por correo

https://t.co/2eZTpNF6Yh",2020-05-08 20:38:11
"American workers are hurting. We need to pass another coronavirus relief package to help families put food on the table. 

https://t.co/hWvEn7B9YO",2020-05-08 18:19:09
"🚨UPDATE🚨

Californians can now visit https://t.co/kZmU0I1pCn to find their nearest testing site and make an appointment. https://t.co/0n8VrSR3Xe",2020-05-08 15:20:14
A global pandemic is not the time to push a political agenda that interferes with people’s lives and rights.  I'm proud to join more than 150 of my colleagues in support of a woman's right to choose. https://t.co/H4Vfw2NUJG,2020-05-07 17:49:07
"More than 30M people have filed for unemployment since the start of the pandemic. We need to support working families during this national emergency &amp; pass another #COVID19 response package. Millions of Americans are in desperate need of financial relief.

https://t.co/xwBGC83DbN",2020-05-07 17:01:45
"""Hispanics are nearly twice as likely as whites to have lost their jobs amid the coronavirus shutdowns, according to a Washington Post-Ipsos poll, underlining that the pandemic is wreaking a disproportionate toll on some racial and ethnic groups.""

https://t.co/mSrOpC78OO",2020-05-07 15:19:17
"Three months ago in Georgia, Ahmaud Arbery was murdered in broad daylight. The murderers have not been brought in for questioning or charged with a crime. I have no doubt that if he was a white man, Ahmaud would be alive today. We need #JusticeForAhmaud and his family. https://t.co/zGKdSpgGS5",2020-05-07 03:35:32
"Calling all CA 29 District artists!  The Annual Congressional Art Competition has been extended through May 30. Click on the link below for information on submissions.

https://t.co/IvUmLeNNLW",2020-05-07 01:04:31
"More than 71,000 reported #COVID19  deaths in the United States and @realDonaldTrump wants to scale back the coronavirus task force. This is a reckless decision and people will die. Another clear sign that Trump is unfit to lead.

https://t.co/xV9Fg3Vdxn",2020-05-06 15:48:23
"The #COVID19 pandemic has taken an excruciating mental health toll on our our healthcare workers who are watching their patients die. We must include funding for mental health support for our hospital workers in the next coronavirus relief package.

https://t.co/VWBuqegmdE",2020-05-06 15:27:48
"""The officials [FEMA and HHS] also expressed concern that governors moving to reopen their economies while cases were still prevalent threatened to plunge the nation into a new and potentially deadlier chapter of the outbreak.""

Listen to the experts!

https://t.co/iec4hBbFJX",2020-05-06 15:11:14
"To all the nurses in the San Fernando Valley and across the country working long hours and tiring shifts, thank you. Know that you have an ally in Washington who will always have your backs. #NationalNursesDay https://t.co/wQnACwuBDG",2020-05-06 14:37:00
"The Trump Administration ignored repeated warnings from scientists and did not take the #COVID19 threat seriously, and now the American people are paying the price.  

https://t.co/QDqBebm4Aj",2020-05-05 20:40:00
The #Census determines how federal dollars are allocated. Shape your own future by filling it out today. https://t.co/2eDW2xQ1O2,2020-05-05 20:24:20
"Taking care of our mental health is just as important as taking care of our physical health. This pandemic is taking a mental and emotional toll on people. We must push for mental health support funding to be included in future #COVID19 legislation.

https://t.co/UmMFDzId0D",2020-05-05 18:40:06
"Although schools are closed, teachers are going above and beyond to make sure their students are not falling behind. This #TeacherAppreciationDay, we say thank you to the teachers who continue to shape students’ lives. #ThankATeacher https://t.co/DyL6KFfXHR",2020-05-05 16:43:29
"The #COVID19 pandemic is disproportionately affecting communities of color. 

35% of Latino households have experienced a layoff &amp; more than 65% of respondents reported having difficulty buying or finding necessities such as food as a result of #COVID19.

https://t.co/Hn3fbPwccb",2020-05-04 20:39:46
Me uní a Al Punto el domingo para hablar sobre el coronavirus y lo último en Washington. https://t.co/ULvNZH4Q8V,2020-05-04 18:43:39
"President @realDonaldTrump's poor leadership and inaction have contributed to the devastation the #COVID19 pandemic has caused. Although he is not directly responsible for the outbreak, his unwillingness to act early on has made it difficult to contain.",2020-05-04 18:20:53
"At a time when the Trump Administration should be doing everything in its power to save American lives, it is instead putting more and more of them at risk through reckless rollbacks of clean air protections. 

https://t.co/U8PBtJCpd4",2020-05-04 15:15:34
Praying for #PuertoRico after another earthquake hit the island. https://t.co/XtRGNrNr7k,2020-05-03 18:23:11
"Trump is removing a top @HHSGov official for doing her job. Shows us how much the Trump Administration values the truth. @PressSec, what say you?

https://t.co/g2qjGdgOCk",2020-05-02 17:41:20
"""Black and Latino Californians ages 18 to 64 are dying more frequently of COVID-19 than their white and Asian counterparts relative to their share of the population.""

https://t.co/YSSdJoIxu2",2020-05-01 18:40:19
"Thank you to the men and women of the CA National Guard for your support across the state as we work to combat the coronavirus. We are grateful for your service to our nation.

https://t.co/2m1RIaArgB",2020-05-01 18:37:03
"If you missed my juvenile justice virtual roundtable, you can watch the entire event here:

https://t.co/4gxkTDw6a8",2020-05-01 18:18:42
"Stephen Miller wants to limit legal immigration, and we have actual audio of him saying it. I've said it before and I'll say it again: Stephen Miller has to go. 

https://t.co/6R9HFXSWPL",2020-04-30 22:14:33
"#HealthDisparities in communities of color are caused by:
🔴 Lack of access to healthy food
🔴 Inadequate medical care
🔴 Pollution &amp; environmental factors

Now more than ever we must fight these systemic injustices. 
#MinorityHealthMonth #NMHM2020",2020-04-30 20:01:28
