tweet,dates
"Happy Mother's Day to my mom, Barbara Mott Kelly, and to my wife, Sheila! https://t.co/c47nDBF4vj",2020-05-10 17:29:02
"75 years ago, the Allied Forces liberated Europe. Their service and the many sacrifices made in the name of freedom will always be remembered. https://t.co/8Tl4S5Kyqq",2020-05-08 19:14:00
Not enough can be said about the important role nurses have played in response to #Covid_19. Let us all remember their hard work and dedication on the front lines and well beyond. #MS01 https://t.co/alMh0Hz4dN,2020-05-06 19:32:31
The First Congressional District Art Competition is moving forward! Submit artwork by May 29. Winner to be announced June 1. Click for more info. https://t.co/Xhmac5uwgC https://t.co/jsbHY9SXDK,2020-05-05 21:14:57
Appreciate Toyota Motor Manufacturing Mississippi and the steps they have taken to ensure a safer working environment for their team. #Covid_19 #MS01 https://t.co/15jHvonpQ9,2020-05-05 16:36:08
Food security is national security. We must support our agriculture industry during this challenging time in America. Mississippi FARM Corps will help make that possible. Please read my newsletter. https://t.co/7ofCAfVqgY https://t.co/Qno49yK2R5,2020-05-02 19:26:57
Appreciated the opportunity to discuss issues that are important to Mississippians with @AllieWcbi https://t.co/J2gVRwiGI9,2020-05-01 18:46:24
".@NIH and @GileadSciences announces Phase Three of a clinical trial for antiviral drug remdesivir - initial data shows ""clear-cut, significant positive effect in diminishing time to recover"" - Dr. Anthony Fauci. #COVID__19",2020-04-30 18:22:58
"The Paycheck Protection Program is helping scores of Mississippians keep their employees on the payroll. Tommy Franks, owner of Magnolia Freight Services in Saltillo, was helped. Read about him in my next newsletter. Subscribe at https://t.co/tRsUFfWXGq https://t.co/X1YycVQm3e",2020-04-29 22:05:01
Appreciated the opportunity to discuss opening up America again and Mississippi FARM Corps on @supertalk. #MS01 https://t.co/KlGHhGpzJ6,2020-04-28 20:38:40
Mississippi prepares to ease some coronavirus restrictions https://t.co/LgqXTy9Bm4,2020-04-27 21:56:14
"Testing for COVID-19 is taking place today at BancorpSouth Arena 375 East Main Street, Tupelo. An appointment is necessary. Click for details. https://t.co/ioyFFMXCkl https://t.co/4UNHiKpkju",2020-04-27 18:51:51
We are proud to continue your good work in Mississippi! https://t.co/nbWjqSlu2x https://t.co/f8reab46YO,2020-04-25 19:30:11
"The Paycheck Protection Program has been replenished, bringing relief to more small business owners in Mississippi and across America. Discussed the program on @wtva9news and in my newsletter. https://t.co/dnW8NGFfEi. #MS01 https://t.co/4Uc9gdfoPH",2020-04-25 18:41:20
I am pleased to announce the launch of the Farm and Ranch Mission (FARM) Corps. This program will assist farmers who need workers to plant and harvest crops while providing jobs to men and women in uniform. Click to learn more. https://t.co/duGehdKcGi https://t.co/JHS7cEA89U,2020-04-24 19:25:29
".@UMMCnews and @MSDH will conduct drive-thru testing on April 24 at the Oxford Conference Center, 103 Ed Perry Boulevard, Oxford, and on April 25 at Fairview Baptist Church, 127 Airline Drive, Columbus. Download the C Spire Health app https://t.co/P1EBdxCVZP or (601) 496-7200.",2020-04-23 19:21:54
"Today, the U.S. House of Representatives will vote on legislation to replenish the Paycheck Protection Program and provide additional relief for hospitals and for testing. I discussed our return to DC on @supertalk https://t.co/8FrjAGjHwE",2020-04-23 18:12:30
"Thankful for these good folks in Iuka who are making masks for front line and essential workers - over 4,000 already donated! Keep up the great work! #MS01 https://t.co/FbLmweszAy",2020-04-22 19:53:30
.@msdh announces more drive thru COVID-19 testing locations. https://t.co/S5vMODDkcI,2020-04-18 19:28:17
Please be weather aware on Sunday and have a plan. #MS01 https://t.co/yVp7hj4v5G,2020-04-17 19:26:09
Governor Tate Reeves has extended the shelter-in-place order for one more week. #MS01,2020-04-17 14:49:11
Great news @TVAnews! https://t.co/xvCE4Lrekr,2020-04-16 16:47:19
"Much has been accomplished to deliver aid to the American people while providing resources to help our small business owners. To learn more about these resources, please read my newsletter.https://t.co/Fr0cSaYGo0 https://t.co/ypK2W1obd8",2020-04-14 22:18:03
"Free @UMMCnews COVID-19 screenings will take place Tuesday, April 14 at the Chickasaw County Agri-Center in Houston. For more information, please click on the link. https://t.co/RRYb6AEhTl",2020-04-13 19:13:14
.@USDA offers guidelines to assist rural communities impacted by COVID-19. https://t.co/PaiVvZ7nAt,2020-04-13 16:09:27
God bless you and your family and the United States of America. https://t.co/mtz85Fdibc,2020-04-12 15:02:24
