tweet,dates
"🎥: @meadowshospital, @ValleVistaHS, @CRHSouth, and Valle Vista Health System https://t.co/mPDummoLSB",2020-05-08 20:23:33
To our healthcare heroes: thank you. https://t.co/VALMTHySop,2020-05-08 20:18:03
"Thanks to @POTUS regulatory reduction and prioritization of testing, the private sector’s speed and skills to create the needed tests, and the collaboration between the two, America has conducted more than twice as many tests as the next leading country. (2/2) https://t.co/iRdjN1MiPJ",2020-05-06 17:49:35
Availability of coronavirus testing plays an important part in opening back up our country so people can get back to work. (1/2),2020-05-06 17:49:01
"Happy #NationalNursesDay to all Hoosier nurses who have been working tirelessly on the frontlines of coronavirus. Thank you for seeing your patients + their families through this difficult time and for always putting others first. We are eternally grateful. 

📸: @meadowshospital https://t.co/WPJbMhuUly",2020-05-06 16:19:26
Today is #NationalTeacherAppreciationDay. Teachers at every level are working around the clock to make sure their students have what they need and ensure that their education is not disrupted. Thank you for your hard work that truly has a lasting impact on future generations. 🍎 https://t.co/T6ybHKu7ty,2020-05-05 14:42:56
I joined @thehill Coronavirus Special Report w/@SCClemons to discuss the importance of finding the right balance of minimizing coronavirus health risks while still enabling and empowering Americans to get back to their normal way of life. Tune in: https://t.co/QzPpL3gdZs,2020-04-30 21:20:00
"🚨Signed into law: @POTUS just signed the Paycheck Protection Program and Health Care Enhancement Act to:

✅Increase PPP funding for small businesses
✅Support our care providers and hospital systems
✅Allocate more resources to get more Americans tested for coronavirus",2020-04-24 17:07:35
I hear from Hoosiers every day who are worried about feeding their families and saving their jobs. We have to recognize and have a conversation about the real economic cost of coronavirus and find a way to minimize both the economic costs and biological risks at the same time → https://t.co/eck46V44bx,2020-04-20 15:49:59
Sheltering in place forever is not a sustainable strategy. It was a strategy meant to buy time. It was a strategy meant to flatten the curve. But it’s not a strategy that we can sit at home and wait for the coronavirus to pass. → https://t.co/UlCKg7D7ql,2020-04-17 15:55:26
"We owe Americans a reasonable, thoughtful plan based in science to balance the health risks of coronavirus with the economic losses of people’s jobs and businesses and ability to support their children and go to church. As a country, we need a way forward. https://t.co/lKbXvm6im9",2020-04-16 19:04:27
"Great work, @IndianaUniv! https://t.co/GBT0BaDQzn",2020-04-10 20:57:05
"Good news of the day☀️ Bryan’s whole neighborhood in Franklin welcomed him home after 10 days on a ventilator because of Coronavirus. I just spoke to Bryan on the phone and he was in bright spirits, happy to be home, and optimistic about our country’s ability to fight this virus. https://t.co/d779qi0rRO",2020-04-10 18:36:58
You can only pick three #IN09 https://t.co/RKZOKFEV9J,2020-04-07 23:03:23
Updated stay-at-home guidance on our updated webpage. Click here for new FAQs from the Governor’s office and a fresh resource page for information you might need during this pandemic: https://t.co/xwTyB8f3BM,2020-04-07 21:18:22
"Incredible work being done at Shields Windshields, making medical supplies with the glass typically used for their construction vehicle windshield operations. While they’re stepping up for our community, they are also looking to hire → https://t.co/aXDh1d8Imh",2020-04-07 16:05:04
