tweet,dates
"Today, we celebrate those who gave us life, raised us, and taught us life's most important lessons. I am so grateful for the love of my own mother, and I wish her and all mothers a very happy Mother's Day! https://t.co/Ugu0I8M6HK",2020-05-10 12:00:00
"May is #MilitaryAppreciationMonth, when we thank members of the armed forces, including those who have made the ultimate sacrifice, for their selfless bravery and service to our country in the name of freedom. Join me in thanking them all month, and throughout the year. 🇺🇸 https://t.co/43oGVbXU36",2020-05-09 19:30:25
"TODAY AT 2 PM ⬇️

Join @NASA Administrator @JimBridenstine and @COSI President &amp; CEO Dr. Frederic Bertley for a live video stream conversation, “Get Ready – We’re Going to the Moon and Mars!” relating to #Artemis program and @NASAglenn

Exciting learning opp for the whole family! https://t.co/37fOXmZ5dD",2020-05-08 17:30:00
"Granville-based @citizenAIDUSA empowers ordinary citizens to save lives in emergencies. If your family is looking for something to do at home, consider their ""Quarantrain"" program:
🕜30 minutes
💵$14
👩‍🏫They'll also provide a free training to a US teacher

https://t.co/FRG5Xjfg2u https://t.co/WfS3NUXoBF",2020-05-08 17:00:00
"On this day 75 years ago, Nazi Germany surrendered and liberty prevailed. Our nation remembers and thanks the Greatest Generation who served bravely in #WWII to defend freedom at home and around the world. #VEDay75 https://t.co/d6GwMjVyao",2020-05-08 14:41:33
During #COVID19 it's critical students have adequate access to distance learning. Especially important for CTE so US doesn't fall behind the STEM ed. curve. Let's ensure we can meet the demands of tomorrow’s workforce. @RepTjCox &amp; I are pushing for investment in rural STEM ⬇️ https://t.co/xEjPlHomjQ,2020-05-07 20:16:57
"Frontline OH hospitals &amp; care providers need support to fight #COVID19 &amp; continue providing care to OH families

So far #OH12 providers have received &gt;$121 MILLION

I pushed for this relief, particularly for Ohio's most vulnerable

MORE ON MY WORK HERE ➡️ https://t.co/mNMvA19OTE",2020-05-07 16:22:26
"I join the nation today in praying for the health and safety of all Americans. Together, we are strong. Together, we will get through this. #NationalDayOfPrayer #InThisTogetherOhio https://t.co/YjZdAYgKn0",2020-05-07 12:05:00
"Incredibly saddened to learn of the passing of my friend Sheriff Dwight Radcliff. He was the nation's longest-serving sheriff with 41 years as Pickaway County sheriff + 7 prior years as a deputy. His heroism and dedication will not soon be forgotten, and his legacy will live on. https://t.co/LknGzIjP3d",2020-05-06 16:19:10
Spoke w/ Columbus @OncologyNursing last night about challenges they're facing in #COVID19. Both my mom &amp; daughter-in-law are nurses. I have profound respect &amp; appreciation for nurses' compassionate care. It's with great heart I thank our nation's nurses! #NationalNursesWeek https://t.co/5WJW7B9ucM,2020-05-06 14:57:55
"Happy #NationalTeacherAppreciationDay to our nation’s educators! The work you do has a profound impact on America’s youth and our country’s future. As this pandemic calls for innovative approaches to education, I salute you for your continued compassion and dedication.",2020-05-06 02:00:05
