tweet,dates
"Yesterday, I hosted my latest COVID related tele-town hall meeting to discuss the impact on businesses and resources available to assist them. https://t.co/gEdR1x6IKz",2020-05-07 17:06:31
"Nurses are the heart of our healthcare system. As we celebrate National Nurses Day, mahalo nui to all of our nurses who are putting their lives on the line as they serve on the frontlines of this pandemic. We are so grateful for all you do to keep us safe.",2020-05-06 20:03:50
"Join me for a live telephone town hall TODAY 4–5pm HST to talk about the national and state response to the coronavirus and update Hawai‘i residents about COVID-19 impacts and resources available. For more details and to sign up, visit my website: https://t.co/ldqbqX0prt",2020-05-06 16:54:42
"Amid such great hardship for so many, we stand together. On #GivingTuesdayNow, if you are able, lets all find a way to help others in need. We will get through this together.",2020-05-06 02:54:48
Congress must stay focused on serving the American people in the midst of the coronavirus public health care crisis. https://t.co/rLbXmqx2XL,2020-05-01 23:03:04
"Yesterday, I hosted my latest tele-town hall meeting and covered issues ranging from testing efforts across the state to healthcare and small business relief programs available to Hawai‘i residents. https://t.co/85Niv3VJsw",2020-04-30 21:12:14
"Tomorrow, I will host my next COVID-19 tele-town hall update. In addition to covering the latest developments, I will be joined by Dr. Scott Miscovich, the state’s Medicaid Director &amp; Deputy Director and the SBA. For more details and to sign up: https://t.co/by9uvaqPLI",2020-04-29 02:12:54
"Today, I voted to pass H.R.266, the Paycheck Protection Program and Health Care Enhancement Act, which will provide additional funding for small businesses, hospitals and testing. https://t.co/l3JNhAy8TJ",2020-04-24 00:51:24
"Yesterday, I hosted my sixth coronavirus-related weekly telephone town hall from Washington, DC. I was joined by Shawna Lamothe, David Tucker, and Gayvial James from the Internal Revenue Service (IRS) and Sharlette Poe from the U.S. Census Bureau. https://t.co/q6qaHUFmBH",2020-04-23 13:21:50
"Good health starts with clean air and clean water. Caring for our health and caring for our planet go hand in hand. As we observe the 50th anniversary of #EarthDay, let us take action for each other, our planet, and our future.",2020-04-22 16:08:13
"The coronavirus crisis is affecting Americans all across our country, including its unique impacts on our island state. https://t.co/DqK2PrDFOr",2020-04-22 01:21:21
"I will host my next COVID-19 tele-town hall update with guests Shawna Lamothe and David A. Tucker II from the IRS to give an update on the stimulus checks now making their way to individuals, as well as Sharlette Poe from the U.S. Census Bureau. https://t.co/9ScIXPWxAM",2020-04-21 04:50:29
"Instead of opening the door to more corporate profiteering on the taxpayers’ dime, we should be strengthening our laws to end corruption and slam the revolving door of DOD retirees taking lucrative jobs in the Defense industry as lobbyists shut. https://t.co/0b24WeDG8w",2020-04-18 03:34:45
"Census field data collection has been temporarily suspended, so it's even more important to complete your 2020 Census online or via phone to make sure that Hawai‘i is properly counted and gets resources we need from the federal government. Learn more at https://t.co/gvJlFyL07p.",2020-04-16 19:55:15
"Yesterday, I was joined by military base commanders in Hawai‘i to talk with residents about how the COVID-19 pandemic is impacting the military, servicemembers, and their families. https://t.co/JO3szfRd3R",2020-04-16 14:04:57
"During this time of critical need for individuals, small businesses, healthcare providers, and our state, we are working to ensure Federal funds get to those who need them most. https://t.co/Hq8pnARW0w",2020-04-15 23:51:51
"On Wednesday, I will host my next COVID-19 tele-town hall update. In addition to covering the latest developments, I will be joined by military commanders to address challenges faced by military families. For more details and to sign up, visit my website: https://t.co/SJz0IK6Hdx",2020-04-14 00:07:08
I hosted a live telephone town hall earlier this week to provide updates on the national and state response to the coronavirus. You can listen here: https://t.co/xoKKp4arqE,2020-04-10 20:41:21
"Aloha to the Hirano and Inouye families as they remember Irene Hirano Inouye: a leader in US-Japan relations respected on both sides of the Pacific, a tireless advocate for the Japanese American community, and the widow of our late Sen. Daniel K. Inouye. https://t.co/petfKoVsXH",2020-04-08 18:26:08
"The recent passage of the CARES Act provided critical assistance for individuals, businesses, and essential services, and we are starting to see these resources delivered to Hawai‘i.",2020-04-07 02:33:18
"On #NationalGoForBrokeDay, we remember the spirit + sacrifice of the 442nd on the day the unit’s first Medal of Honor recipient, PFC Sadao Munemori, was killed 75 years ago. We are inspired by the Aloha they embodied &amp; confront hatred &amp; bigotry with courage, love, &amp; respect.",2020-04-06 05:48:52
"There is a shortage of blood donations on O‘ahu. Residents can leave their homes to donate blood, and the Blood Bank of Hawai‘i has created a safe donation environment to collect the necessary blood to sustain our community. Learn more: https://t.co/wkginAgcjx",2020-04-04 20:15:43
The coronavirus crisis is impacting us and our communities in ways we could not imagine. https://t.co/i9Wb8jrCsz,2020-04-04 01:13:22
"As a fellow Soldier in the National Guard, I am grateful for all of my brothers and sisters in the National Guard who are mobilizing across the country to serve! I stand ready to serve should the Hawaii National Guard be activated.",2020-04-03 19:05:02
"For years, I have pushed for paper ballots to ensure our elections are secure. In this coronavirus pandemic, it’s even more important that we quickly transition to a mail-in paper ballot, which would allow more people to vote &amp; protect their health &amp; the security of their vote.",2020-04-03 00:30:18
"Thank you for tuning in to my telephone town hall with Dr. Scott Miscovich to discuss the COVID-19 coronavirus crisis yesterday. If you missed it, you can listen online or watch on Facebook: https://t.co/xsWzSSiUUr",2020-04-02 18:58:45
"Today is Census Day! Fill out the census safely from your home by mail, phone, or online. Counting everyone is critical, as it will determine the public health funding that our community gets for the next decade - so important right now. Learn more: https://t.co/gvJlFyL07p",2020-04-02 01:07:09
