tweet,dates
"Today we celebrate the 75th anniversary of the Allied victory over Nazi Germany. While our country has faced many great challenges, as we do now with the #coronavirus pandemic, I know that together we will endure and emerge stronger and more united than ever before. https://t.co/A7yOvq2M8s",2020-05-08 18:40:41
"Pleased to announce that our area has received more coronavirus healthcare aid than 95 percent of the rest of the country. My congressional district was 19th out of 435 districts. Our doctors and nurses are doing heroic work -- they deserve it!

https://t.co/ltK1moesO0",2020-05-08 13:18:27
"Kudos to @ManateeGov for providing free face masks to residents. Good to see our local government stepping up to protect the community. Read the article below to see where to pick one up. 

https://t.co/fXRIUiN3Vv",2020-05-07 18:25:16
America needs to become less dependent on China for life-saving drugs. China is not our friend. Read about my bill to ensure that we never again are forced to rely on other countries for critical drugs that keep Americans healthy. https://t.co/q02Gl15Id4,2020-05-06 19:03:31
"Thrilled that Sarasota's Roskamp Institute has won a $400,000 grant to determine if red tide causes neurological disorders. As someone who has led the fight in Congress to combat red tide, I'm very pleased Roskamp is doing this important study. https://t.co/8QH3Qlvr79",2020-05-06 15:00:44
Thanks to all who joined me on my telephone town hall to discuss the latest on the coronavirus pandemic and phase one of Gov. DeSantis’s plan to safely reopen Florida. A special thank you to Sarasota County’s Public Health Officer Chuck Henry for lending his expertise. https://t.co/8ppoao92gF,2020-05-05 21:34:00
Coronavirus has shown how dangerously reliant we are on China for life-saving medicines. China recently threatened to cut off access to these vital drugs. Today I introduced legislation in the U.S. House to rebuild drug manufacturing in America.,2020-05-05 14:31:29
Americans are struggling with mental health issues including depression and social isolation due to COVID-19. Seniors are especially vulnerable. Phone calls to crisis hotlines have jumped 900%. The next coronavirus relief bill needs to address this. https://t.co/2nN30o38gf,2020-05-04 14:17:27
"ICYMI: The state is opening five new drive-thru coronavirus testing sites across the state, including one at the Mall at University Town Center next week to serve Manatee and Sarasota counties. Find out more here. 
https://t.co/n4SMuU16bh",2020-05-01 16:23:28
Looking forward to joining @JMatter_TV on @mysuncoast and answering your questions on coronavirus. Tune in tonight at 7pm! https://t.co/o728qhNSST,2020-04-30 19:34:54
