tweet,dates
"Happy #MothersDay to all the wonderful moms in El Paso and to my rock and inspiration - my mom! 

It’s been hard not being able to hug or share a meal with her for weeks, but today I dropped off breakfast and flowers from a safe distance to celebrate her and keep her safe! https://t.co/e1PSYzh6Yt",2020-05-10 17:25:08
"Latino entrepreneurs are among the majority of small-business owners directly affected by the economic crisis caused by the #COVID19 pandemic.

We must work to protect vulnerable small businesses and ensure they are able to fully access relief funds.
 https://t.co/3GFOi56G0o",2020-05-09 17:00:01
"Laws allowing “citizens arrests” &amp; easy access to guns coupled w/ our country’s deep roots of racism put a target on the backs of African Americans like Ahmaud.

Even w/ video of his murder, it may be difficult for his family to get justice. Imagine if there hadn’t been a video. https://t.co/9f1PnG2p1S",2020-05-09 14:31:28
"Grocery store workers are on the frontlines stocking the shelves for customers, while in fear of getting sick themselves. It shouldn’t take a pandemic for us to value their work and support the fight to #ProtectAllWorkers. 

https://t.co/B8SlXOLcRE",2020-05-09 01:39:15
"Baby just filled out the 2020 Census and it only took him five minutes! 

Now, Baby is challenging all El Pasoans to do the same. Fill out the Census today👇🏽
https://t.co/6PdDTbhlUm

#ElPasoCounts

*No animals were harmed during this photoshoot https://t.co/IODD2fTFtz",2020-05-09 00:23:44
"EL PASO – Don’t forget to #UniteWithLightEP 🔦today at 7:30 p.m. and show our gratitude to our essential workers, health care professionals, and first responders. https://t.co/sw11h08GSZ",2020-05-08 22:00:52
"Economic stress and isolation during the #COVID19 pandemic are causing a profound impact on our mental health.

Now more than ever, we must come together. This #MHM, let’s check in on our friends and family and dedicate time to take care of ourselves.",2020-05-08 21:24:31
"The #COVID19 pandemic has exposed our nation’s inequality and hard working Latino families in Texas, Florida, and across the country are suffering the consequences.

Read the op-ed I wrote alongside my compañeras de lucha @RepSylviaGarcia and @RepDMP👇🏽
https://t.co/cScs4NYmyf",2020-05-08 19:10:35
"Running out of ideas of what to do while we do our part to flatten the curve and #StayHome? Here are a few suggestions:

👩🏽‍🍳Learn a new recipe
💃🏽Have a dance party with family
☎️Call a friend
🌱Plant a new tree in your backyard",2020-05-08 17:00:01
"ICYMI – The leaders of @CountyofElPaso, @ElPasoTXGov, @City_of_Socorro, @Vinton_TX, Town of Horizon City, and San Elizario are calling on congressional leadership to provide desperately emergency assistance for local governments in the next #COVID19 relief bill. https://t.co/m5JkKsBpXN",2020-05-08 15:05:56
"Due to #COVID19, @DHSgov announced that all Remain in Mexico hearings would be rescheduled, but asylum seekers are still forced to travel to their designated port of entry to receive a new date. 

This is unnecessary and irresponsible.",2020-05-07 23:47:52
"I’m about to go live on #MTPDaily with @chucktodd to discuss the premature re-opening of Texas and the racial disparities in the coronavirus health and economic crisis. 

Tune in! https://t.co/868IfctY1Y",2020-05-07 21:41:17
"In the middle of a pandemic that has claimed the lives of more than 70K Americans, @realDonaldTrump has backed away from health guidelines and pushed to the premature reopening of states, including Texas, without an adequate testing strategy. 
 https://t.co/xMU2EZgrWk",2020-05-07 20:30:23
"#FrontlineMoms are powering communities during this crisis. Ahead of #MothersDay, we demand leaders put women and families ahead of corporations, including ensuring women have workplace, health, and other critical protections they need. 

https://t.co/QS6EBrYGiW",2020-05-07 19:30:00
"Texas GOP has tried to exploit the #COVID19 pandemic to deny essential healthcare and reproductive justice to women.
 
We cannot allow anti-choice lawmakers in Congress to do the same. Today, I’m proud to lead +155 @HouseDemocrats as #WeDemandMore for women in this country. https://t.co/oy7uDX04K2",2020-05-07 18:58:08
".@GovAbbott: “Every scientific and medical report shows that whenever you have a reopening… it actually will lead to an increase and spread.”

FACT: The premature opening will lead to more Texans getting sick and dying of #COVID19. Does he care? No. 

https://t.co/cwq1wt0Ff9",2020-05-07 18:08:16
".@realDonaldTrump’s proposed payroll tax cut will harm Social Security and greatly benefit large corporations. Now more than ever, we need to help our most vulnerable seniors, and #ExpandSocialSecurity. 

https://t.co/6AUvlkIlDe",2020-05-07 17:21:35
"Increased vehicle pollution, power-plant emissions, allowing the dumping of coal-mining debris into streams &amp; much more.

Instead of protecting our planet, health, air and water, ⁦@realDonaldTrump⁩ has rolled back regulations, endangering all of us. https://t.co/oQqh46btY4",2020-05-07 13:31:05
"Today, I joined @USProgressives for a remote hearing to discuss the factors that have put communities of color at greater risk in this pandemic.

The hearing featured expert testimony from witnesses, including @SanVicenteOrg’ Dr. Paz and @NIJC’s Nayna Gupta. #PeoplesRecovery https://t.co/KXEaHLCPsr",2020-05-06 23:39:11
"As I told @ajcorchado: The hypocrisy within the U.S. is that we want the fruits of undocumented labor, but we want to give nothing in return. 

Alfredo, thank you for sharing your story and shining a light on the need to legalize farmworkers and secure the future of agriculture. https://t.co/NP5W1BcizA",2020-05-06 22:39:44
"EL PASO: Our hospitals and patients need your help. If you have fully recovered from #COVID19, you can help by donating plasma.

Plasma is key in the fight against the virus. If you are able, set up an appointment with El Paso’s @VitalantOrg now 👇🏽

https://t.co/mpdZC4Rguh",2020-05-06 22:07:57
"It’s been more than a month since Marissa Hudler, a Texas nurse, hugged her children.

This #NationalNursesDay, we recognize nurses' sacrifices and honor their work and dedication by making sure they have the resources needed to save lives. 

https://t.co/TrSbyqB0oi",2020-05-06 20:15:42
"Community health clinics, like @SanVicenteOrg, are on the frontlines of testing and treating #COVID19 in vulnerable communities with high numbers of uninsured.

Thank you, Christina Paz for testifying before @USProgressives as we discuss bold solutions for a #PeoplesRecovery. https://t.co/RycYulLOPj",2020-05-06 19:09:55
".@USProgressives are leading the way with remote hearings in Congress. 

Today at 12pm MT, I’ll chair, alongside @RepBarbaraLee, a remote hearing to discuss a #PeoplesRecovery to #COVID19 that addresses racial disparities in our nation. Tune in👇🏽
https://t.co/UQO7EgoTir https://t.co/QVuQS2flQf",2020-05-06 17:22:28
"NEWS: @ElPasoChildrens Hospital will receive $1.5 million in #COVID19 relief funding provided by the #CARESAct.

The EPCH has been providing quality care to young patients, including those with #COVID19, and I’m proud to have advocated to secure this critical funding.",2020-05-06 14:35:17
"I led a letter, signed by 17 @HouseDemocrats, asking @ICEgov to come up with a plan to protect against #COVID19 all detainees and employees in detention centers in El Paso and around the nation. https://t.co/6jncZZFmfe",2020-05-06 00:14:39
"Thank you to the @GSDSWGirlScouts for honoring our hardworking healthcare workers and spreading hope and strength to #COVID19 patients.

https://t.co/HZ6ZWpc45y",2020-05-05 23:31:25
"As we face the #COVID19 pandemic, this Cinco de Mayo is an opportunity for El Pasoans to remember how deeply interconnected the US and Mexico’s economy and societies are and the importance of prevention and cooperation between neighbors to protect one another. Feliz #CincoAtHome!",2020-05-05 22:45:00
"🚨VETERANS AND SSI RECIPIENTS 🚨

Today is the last day to register to get the full amount of your Economic Impact Payment quickly if you have eligible dependents and did not file 2018 or 2019 tax returns. 

Take action now👇🏽
https://t.co/xod70abcvh https://t.co/yxTAAPXwOp",2020-05-05 22:29:38
"This #TeacherAppreciationDay, I’m grateful for all El Paso teachers that are continuing to virtually show up and support their students while schools remain physically closed.

We #SendTeachersLove and thank them for playing an essential role in our community during the pandemic. https://t.co/MSglGgOqJf",2020-05-05 21:42:29
"Tomorrow, the #SCOTUS will hear arguments on a case that is a part of @realDonaldTrump's attack on women’s reproductive rights.  

Let’s be clear, access to birth control is critical for women’s health, equality, and economic security. #HandsOffMyBC!

https://t.co/PnZwBg9eu3",2020-05-05 19:15:00
"The #COVID19 pandemic may cause feelings of worry and stress. While we #StayHome, the @CDCgov suggests the following to help:

🧘🏽‍♀️Exercise and eat balanced meals
🤳🏽Connect with loved ones via phone or video chat
⏳Take breaks from social media
More👇🏽

https://t.co/jdKwMCkccJ",2020-05-05 17:08:05
"🚨VETERANS AND SSI RECIPIENTS 🚨

If you have eligible dependents and did not file 2018 or 2019 tax returns, you must act TODAY to get the full amount of your Economic Impact Payment quickly.

Don’t wait, take action now👇🏽

https://t.co/xod70abcvh",2020-05-05 14:33:54
"Very grateful for our courageous first responders who are always there for us, regardless the threat to their own personal safety. 

Thank you, @EPTXFire! 🙏🏽 https://t.co/LfLIwaHwh5",2020-05-04 21:14:05
"Proud to join @davidcicilline in calling on @HHSgov to immediately suspend efforts to strip protections away from the LGBTQ+ community. 

Stripping healthcare protections in a pandemic betrays our nation's values and the spirit of the Health Care Rights Law. https://t.co/t2PERRIZS0",2020-05-04 20:56:54
STARTING SOON: I’ll join a conversation with @latinomuseum about the Latinx community on the frontlines of the #COVID19 pandemic. Tune in on Facebook! https://t.co/DwLfLflm2d,2020-05-04 18:52:12
