tweet,dates
"Every May, we recognize our incredible mothers. We are indebted to their sacrifice, inspired by their wisdom and emboldened by their love.
 
This #MothersDay, let us remember to hold our loved ones extra close during this difficult time. https://t.co/iLhCg9jLaf",2020-05-10 14:35:51
"For Hispanics, inequality is deadly. As this pandemic continues, we need to prioritize those who are most vulnerable to this disease, especially those in minority and Hispanic communities. My oped in @thehill here: https://t.co/2sWP812nxF",2020-05-06 21:08:51
"To the nurses in the #TX15, I will fight for you as you continue to care for our patients in South Texas. 

Thank you for you selflessness and dedication to protecting our communities. 
 
Happy #NationalNursesDay! 🏥 https://t.co/Q3HfNJ8AwV",2020-05-06 18:22:12
"Mobile #COVID19 testing sites are available at a location near you! In order to receive testing, individuals must be experiencing at the least one symptoms of COVID-19 and set an appointment online or call (512) 883-2400. 

https://t.co/c9bqLRzaS1",2020-05-06 17:45:23
To all of the teachers in the #TX15 - thank you! Your support and dedication to our students does not go unnoticed. Thank you for everything you do. #TeachersAppreciationDay https://t.co/J3fP5Qg4g7,2020-05-05 17:57:49
Statement from @RepGonzalez https://t.co/mjdsVEpFLp,2020-05-05 15:10:37
Update on @RepGonzalez https://t.co/LTc5JXYY7L,2020-05-04 17:44:39
#DYK I’ve joined with @SenSherrodBrown @RepDennyHeck @RepMaxineWaters and 70+ cosponsors to help ensure housing stability for all Americans during #COVID19? I support these efforts &amp; urge other members of Congress to do so too! We need #RentReliefNow! https://t.co/1yssfnkbyH,2020-05-04 16:18:17
"As the state of TX begins phase 1 of reopening, I would reiterate my friend from @utrgv, Dr. Krouse: ""Practice social distancing, don’t do anything that is foolish.”

We are in this together &amp; let's respect one another. Stay safe &amp; stay home if you're able.https://t.co/HL6XaEa6Ba",2020-05-01 18:28:09
"Teachers are fiercely rising to meet unprecedented challenges during the #COVID19 pandemic. Now more than ever, we need to show teachers they are appreciated. Share why teachers matter to you and tag your post with #SendTeachersLove. #TX15",2020-05-01 16:49:02
Thank you @McDonalds for feeding our first responders and frontline workers! https://t.co/PVc3EnqALo,2020-05-01 16:31:25
"To the women on the frontlines of this pandemic - thank you. I will stand with you in this battle against COVID-19 and will continue to fight for you, your families, increased testing capacity, PPE, safe working conditions, and a healthy future.

https://t.co/aotdzxdX3U",2020-05-01 15:24:06
".@GovAbbott, it’s time for increased transparency when it comes to COVID-19 and nursing home data. Failure to provide this information to families is cruel and unjust.

https://t.co/oZ8QTCbdqv",2020-05-01 14:28:33
"For constituents in @CityofSchertz, mobile testing is coming again on Monday, May 4 from 9 a.m. - 5 p.m. at Pickrell Park. Tests are conducted by appointment only. More information in the flyer below: https://t.co/LQhCj8l4Fv",2020-04-30 19:23:52
"On Tuesday, I shared updates on the latest round of #PPP funding &amp; my thoughts on the governor’s plan to reopen Texas. We need to ensure that we care for those who are most vulnerable &amp; open our state and economy in a way that protects everyone.
 
https://t.co/WcrpNncDxG",2020-04-29 15:33:13
Thank you @BP_America! We are #InThisTogether! https://t.co/jTE5NepTMc,2020-04-29 14:22:26
"Please do not ingest bleach or disinfectant. These household cleaners are not a science-based cure to the coronavirus. If you are feeling ill, please consult your doctor.
 
https://t.co/J8wuRgjrMD",2020-04-27 21:39:46
"Proud to secure $2.5M for @CityofHidalgo for #infrastructure improvements. I will continue to push for additional funds that will empower South Texas to continue being an epicenter for international trade and economic growth. 

https://t.co/5bWxfzKk55",2020-04-27 15:47:48
"The @SBAgov will resume accepting #PPP loan applications on Monday, April 27 at 10:30AM ET / 9:30AM CT from approved lenders on behalf of any eligible borrower.

https://t.co/o11KCRTpuV",2020-04-24 20:35:40
"Captain Crozier is a hero and should be reinstated immediately. 

https://t.co/m23oCPUUkn",2020-04-24 19:57:20
Thank you @ValeroEnergy! https://t.co/KRGd9h9z7W,2020-04-24 15:52:05
"Glad to see @americanair step up and help our Central and South American neighbors during the #COVID19 pandemic. 

https://t.co/hEUgjypjnQ",2020-04-24 14:56:15
"Rainy day in our nation’s Capitol, but I’m here to vote on legislation to benefit the #TX15. We will be voting on aid to replenish the #PPP, get much needed aid to our small businesses, help for our hospital workers and additional testing. Blessed to serve the #TX15 &amp; stay safe! https://t.co/O0HhVi53ig",2020-04-23 20:42:49
"Ramadan Mubarak to all who observe in the #TX15. During these difficult times, let us be reminded of the power of faith and community. https://t.co/JygzKQoEft",2020-04-23 14:46:10
"Heading to DC to vote on much-needed aid for our small businesses, hospital workers, and additional testing! #TX15 https://t.co/S0Vxr3WoFi",2020-04-22 23:41:28
"Today, I’m thankful for our Earth and especially the Bentsen-RGV State Park &amp; @NatButterflies. 

Being a Texan means that we cherish our land, water, and community. 

I’m working to safeguard our home on #EarthDay &amp; every day. What are you grateful for this Earth Day? https://t.co/3nYYEITEOj",2020-04-22 19:52:48
"I know many in the #TX15  have questions, concerns, issues with the Economic Impact Payments. I would encourage you to pre-register for this event so you can hear directly from the @IRSnews. https://t.co/hIoR9CDgyb",2020-04-22 17:13:10
"Today, April 22 through May 5, first responders &amp; health care workers can stop by any participating @McDonalds  for a free “Thank You Meal.""  Each meal will be available at no charge via drive thru or carry out at participating McDonald’s restaurants. https://t.co/4cSNCvd7Jc",2020-04-22 15:10:12
"Fighting for our energy workers means protecting their jobs, families &amp; livelihoods. The recent bipartisan effort with fellow Texans @RepFletcher &amp; @michaelcburgess to fund the purchase of crude oil for the #SPR will help our country &amp; our community.

https://t.co/YI1fN4ciSv",2020-04-22 13:30:19
"We need to understand the impact of the #COVID19 in senior care facilities. Without adequate info, Congress lacks the ability to protect older Americans &amp; people w/ disabilities who rely on these facilities and are particularly at risk for #COVID19.

https://t.co/ZJjfoBdcyk",2020-04-21 21:33:42
"Today, I, along with @RepFilemonVela, @HispanicCaucus , @TheBlackCaucus  and @CAPAC, called out @realdonaldtrump &amp; @senatemajldr for their #PPP corporate boondoggle. The @SBAgov and banks let big business go first, leaving small business out in the cold. (1/2)",2020-04-21 17:43:15
".@Equifax, @Experian_US and @TransUnion announced free weekly credit reports to help Americans in response to #COVID19 beginning today via: https://t.co/fiqaEp2Iu2",2020-04-20 17:42:32
Postmaster General Megan Brennan told lawmakers that @USPS is projected to lose $13 billion due to #COVID19 and an additional $54 billion over the next decade. USPS projects that it could run out of money by September if they do not obtain more funding. (1/8),2020-04-20 14:39:46
It's time for all of us to come together and stop the spread of the coronavirus. But we can only do that if you #DoYourPart. Here are some health tips for the #TX15: https://t.co/uhfbrPjXoP,2020-04-17 18:30:00
"While SBA funds may have been temporarily exhausted, there is still hope. I am urging my colleagues to put aside the partisanship &amp; pass a bipartisan solution for the American people. I will keep fighting for small businesses and people in #TX15 while this pandemic continues. https://t.co/SUheTWd8We",2020-04-17 16:26:28
"Texas has been awarded more than $307M by @usedgov to support students, teachers, staff, &amp; schools as a result of the COVID-19 pandemic. I promise to continue fighting for those in our educational system during this crisis and long after it ends.

https://t.co/mqOnSnbDsE",2020-04-17 15:13:27
#DoYourPartMcAllen. Everyone in South Texas needs to step up and stay home so we can slow the spread of #COVID19. Here are a few tips on how to stay healthy during this time: https://t.co/QTV6JHLE4i,2020-04-16 19:00:00
Thanks to @NAHBhome and the housing industry for hosting a ‘safety stand down’ that recognizes the importance of essential industries to practice #COVID19 safety precautions on the job site.,2020-04-16 15:03:12
The Census Bureau has delayed #2020Census reporting until Oct. 31. The Census will determine how billions in funding for federal programs is distributed. It's imperative that our district gets its fair share. Fill out your 2020 Census form today: https://t.co/RQm8agmYwS.,2020-04-15 15:58:45
"The non-filer tool, developed in partnership with the 
@IRSnews and @FreeFileTaxes provides a free and easy option designed for people who don’t have a return filing obligation, including those with too little income to file. The feature is available here: https://t.co/sxPOqB4hyz",2020-04-13 18:34:02
"Congrats to @stcjaguars for receiving the #SealOfExcelencia, a national certification by @EdExcelencia for institutions that go beyond enrollment to better serve #Latino students. STC serves 32K students in the #RGV &amp; ensures their success. https://t.co/hlsYcxIgW5 https://t.co/ozVzBpuaRU",2020-04-13 16:53:58
"It’s time for everyone to come to the table and create a solution to end conflict through diplomatic negotiations. This ceasefire is an important step toward peace. 

https://t.co/6wbxr0FKsu",2020-04-10 16:13:40
"In times of struggle, you learn who your real friends are. Thank you to @TECRO_USA for donating 100,000 masks to the state of Texas.

https://t.co/MXbNLjcLge",2020-04-10 15:45:19
"The TX Workforce Commission is experiencing an unprecedented increase in unemployment claims that have led to long wait times and overwhelmed call centers. 

Applicants for unemployment benefits have two options to file:

Online: https://t.co/O5QPsgXNG9
By phone: (800) 939-6631.",2020-04-10 14:00:27
Excellent tool monitoring the #COVID19 cases in the #RGV. https://t.co/1iCrrttai7,2020-04-09 21:29:56
Please take note of the severe weather this evening #TX15. Be careful and stay safe. https://t.co/PaPOHj0X9u,2020-04-09 20:40:24
"Don't miss out on my Telephone Townhall tonight at 6:15 p.m. Central Time!

⬇️Register in the link to receive a call: https://t.co/CNIkUZN87q https://t.co/SSTMoR03Z5",2020-04-08 17:46:06
"Have you filled-out your #2020Census survey yet? It only takes a few minutes and the results will impact more $675 billion in funding to states across America. Take your Census today!

https://t.co/RQm8ag5n8i",2020-04-06 14:52:29
"Join a telephone townhall hosted by myself &amp; Dr. John Krouse, @utrgv Dean of the School of Medicine, to learn the latest on #COVID19 response. We will answer any questions you may have. 

Register in the link to ensure you're part of our call: https://t.co/brPg3uWfFM https://t.co/V4iJyNXUcR",2020-04-05 18:00:38
"Join a telephone townhall hosted by myself &amp; Dr. John Krouse, @utrgv Dean of the School of Medicine, to learn the latest on #COVID19 response. We will answer any questions you may have. 

Register in the link to ensure you're part of our call: https://t.co/brPg3uWfFM https://t.co/YuetLg8Ofs",2020-04-04 15:01:14
"Join a telephone townhall hosted by myself &amp; Dr. John Krouse, @utrgv Dean of the School of Medicine, to learn the latest on #COVID19 response. We will answer any questions you may have. 

Register in the link to ensure you're part of our call: https://t.co/brPg3uWfFM https://t.co/YkiXaAgx9o",2020-04-03 20:00:56
"Captain Crozier may have gone outside the chain of command, but his dismissal is an overreaction. Captain Crozier put the lives of our fighting men &amp; women first. His leadership &amp; dedication to his crew is an example that every American should admire.

https://t.co/xuf2hlyT0N",2020-04-03 19:57:08
"Proud to join my fellow Texas Democrats and push for what should be common sense voting practices. @GovAbbott and @TXsecofstate, we need to implement a statewide no-excuse vote-by-mail program to keep Texans safe from the #COVID19 pandemic now. https://t.co/9jYEgcu7Yl",2020-04-03 18:19:02
"To all of those working tirelessly to grow, harvest, pack, and transport America’s food and fiber, we salute you. I stand with our farmworkers and supply chain workers and thank them for their service during this time.

https://t.co/9o3aEXp4pe",2020-04-03 14:01:39
"ICYMI: Tonight at 6 p.m. CT, I'll be live on @krgv Channel 5 News with local health officials and medical experts to answer your #COVID19 response questions. Hope you'll tune-in! https://t.co/HVvnFut9xU",2020-04-02 22:22:45
"Tune-in tonight to @krgv at 6 p.m. CT this evening for our coronavirus virtual forum!

I'll be joined by medical experts and county officials to discuss coronavirus response efforts and answer questions. https://t.co/HVvnFut9xU",2020-04-02 18:25:37
"It's time for @GovAbbott to issue a uniform, clear stay-at-home order for Texas. I joined my House colleagues urging the governor to do the right thing and mandate that we stay home to save lives. 

https://t.co/hcizATU5FT",2020-04-02 14:17:31
"Today is #CensusDay! We each need to do our part and fill out the Census either online, by phone or mail. Here's my challenge to you: fill out your Census &amp; then challenge a neighbor, family member or friend. Fill out the Census today: https://t.co/HDJKNNEVqh https://t.co/d0lncgqbVV",2020-04-01 17:50:50
"Join a telephone townhall hosted by myself &amp; Dr. John Krouse, @utrgv Dean of the School of Medicine, to learn the latest on #COVID19 response. We will answer any questions you may have. 

Register in the link to ensure you're part of our call: https://t.co/brPg3uWfFM https://t.co/qqjhUPjwXa",2020-04-01 14:45:05
"Join a telephone townhall hosted by myself &amp; Dr. John Krouse, @utrgv Dean of the School of Medicine, to learn the latest on #COVID19 response. We will answer any questions you may have. 

Register in the link to ensure you're part of our call: https://t.co/brPg3uWfFM https://t.co/DcQe6gIgie",2020-03-31 19:05:04
"Today, the House passed the #CARES Act to provide immediate relief to American families and workers. The legislation provides $1,200 payments to adults with annual incomes up to $75,000, plus another $500 per child. 

https://t.co/WK29BVtRnH",2020-03-27 20:12:46
"On behalf of the hard-working families of the #TX15, I will continue to work relentlessly and in a bipartisan way to protect Americans’ health, safety and economic security. I am proud to support the #CARES Act, to bring urgently needed relief to America. https://t.co/7cM5LGkKBX",2020-03-27 18:38:18
".@LopezObrador_ por favor no cometa los mismos errores que otros países y @realdonaldtrump. Si no actúa con medidas agresivas, México va a terminar como otros países... (1/2)",2020-03-27 16:29:43
"Between the #COVID19 pandemic and the difficulties of everyday life, it is important to take steps to manage our health. Here are some fast facts that can help manage your health at home: https://t.co/zr3lwnLQrA",2020-03-26 19:32:24
"As a member of @HouseForeign, I am actively reaching out to South Korea to improve the United States’ testing capabilities and capacity. The U.S. can learn significantly from our South Korean allies and friends.
https://t.co/gJOKVklpMF",2020-03-25 22:02:32
