tweet,dates
"Unemployment rate: 14.7% 
Jobs Lost: 20.5 million

Stunning. It’s time to safely open up our economy again and get people back to work! https://t.co/2CWXu8Y6K4",2020-05-09 14:01:17
"Thank you @zhalaschak for discussing with me the importance of reducing America’s dependency on #China.

One thing is certain: it’s time for us to stand up and reclaim our pharmaceutical independence from the communists in Beijing.

@realDonaldTrump and @GOPLeader, count us in. https://t.co/MlXD8yqMNm",2020-05-08 18:18:32
"Last night, I participated in the #MOTownhall with @Fox4KC and the Nexstar Media Group across Missouri.

We discussed the impact of #coronavirus on Mizzou, the effects on @FortLeonardWood and @Whiteman_AFB, and concerns about our food supply chain operations.

Watch below: https://t.co/aJwusfdadp",2020-05-08 17:00:48
"Prayer is an act of faith that has always been there to bring us together. It replenishes our souls in moments of adversity and helps us rejoice in the Lord's mercy.

On this #NationalDayofPrayer, I invite you to join me in prayer for our country and our fellow Americans. https://t.co/mmPU6AYqeR",2020-05-07 20:21:03
"Along with @RepGaramendi, I am sending a letter to @realDonaldTrump urging action to bring pharmaceutical manufacturing back to America.

It’s time for America to stand up to #China and safeguard these vulnerabilities. Count on us, Mr. President.
https://t.co/miJ7G0s7qB",2020-05-07 18:23:55
"The world is waking up to #China's deliberate deceit over the #coronavirus. Once again, Beijing proves it is not a trusted actor.

America, it's time we cut our dependency on China for our pharmaceuticals. Let's take back control of our own security.
https://t.co/GlbVaFyqk3",2020-05-04 14:19:20
"""China’s coronavirus actions are just one of many threats it poses."" @NikkiHaley is right on this!

We must reduce our dependence on #China and look for alternative supply chains for critical industries. It's time for America and our allies to stand up.

https://t.co/GNs2JoUXdZ",2020-05-01 18:40:02
"This week, I had meetings with meat packing plants in our district: @TysonFoods and @Cargill.

It was wonderful to learn how courageously these two plants are working to ensure their workers are taken care of while keeping safe and affordable protein on Americans' dinner tables. https://t.co/2YV3jb86sR",2020-05-01 16:46:51
"The #coronavirus highlights our reliance on #China in many sectors essential to national security like our pharmaceutical industry.

That's why I'm leading a bill with @RepGaramendi to reduce our military's dependency on China for basic medical supplies.
https://t.co/SYY0jliAXp",2020-05-01 15:13:09
"#China's deceit is responsible for the #coronavirus crisis, both the health crisis and the economic downfall. China must be held accountable for its spread and for making it harder for the world to respond. 

@SecPompeo is absolutely right on this.
https://t.co/kDTfLQAwBd",2020-04-30 16:41:24
"The #PaycheckProtectionProgram is a crucial element of our response to the #coronavirus. 

As small business owners, my husband and I know the financial uncertainty as we face this threat, so we took action to ensure our employees remained on the payroll:
https://t.co/vvIqShlwPv",2020-04-29 22:16:21
"On a call with @GovParsonMO, we discussed the Show-Me Strong Recovery Plan to reopen our economy, getting #PPE to frontline workers, and keeping ag strong by ensuring our meat packing plants stay open and safe. #ShowMeStrong

Make sure and check out: https://t.co/0CuWdHcQbI! https://t.co/2tXyWlS38B",2020-04-29 14:26:00
"GOOD NEWS: The #PaycheckProtectionProgram will be up and running in 2 HOURS. 

Small businesses needing assistance should speak to their lender immediately to ensure all appropriate paperwork is in order. If my office can help in any way, please don't hesitate to reach out.",2020-04-27 12:38:01
"Our office has received many questions about independent contractors and unemployment benefits. 

Independent contractors who work with small businesses can appeal their initial rejection for unemployment benefits. Please make sure to follow up.",2020-04-26 18:35:38
"I just voted in support of the #PaycheckProtectionProgram and Health Care Enhancement Act.

☑️ $310b for #PPP
☑️ $75b for hospitals
☑️ $25b to expand #coronavirus testing

Help is on the way. Let’s all keep working together to win this fight. https://t.co/QoR6OZf0Sy",2020-04-23 21:55:03
"While I’m in DC to approve funding for the #PaycheckProtectionProgram and our rural hospitals, my staff back in Missouri delivered lunch to the hardworking nursing staff at Meadow View Health and Rehabilitation.

Your work is appreciated more than you’ll ever know! #InItTogether https://t.co/8aesvBF7ZQ",2020-04-23 17:58:02
"I’m heading back to Washington to support American workers and health care professionals with tomorrow’s funding bill to replenish the #PaycheckProtectionProgram and put more money towards our hospitals.

This should’ve passed a week ago, but I’m glad we’re finally passing it! https://t.co/VQOXV7to6e",2020-04-22 23:17:59
"I agree with @GOPLeader. We can’t let our current posture mean the regular business of the American people will be pushed aside.

For example, the National Defense Authorization Act is on the horizon.

We MUST have a clear path forward on how we’ll discuss, debate, and vote. https://t.co/NJMQWTWFpE",2020-04-21 18:53:45
"I know our four-legged friends must be happy to have us at home! 

On this #FamilyFriday, I’d love to learn more about your pets and what you’ve done with your pets (who are also family!) these past few weeks! #InItTogether https://t.co/a8C32i4BKx",2020-04-18 00:38:32
"We cannot forget our farmers and ranchers who are in desperate need of relief. The #coronavirus has disrupted commodity values and drastically reshaped supply chains. 

Our farmers and ranchers are the very folks who help feed our country. #InItTogether https://t.co/aqzClscx2F",2020-04-16 19:34:38
"The #PaycheckProtectionProgram is officially out of funds. We could have easily replenished these funds a week ago when @senatemajldr put forward a resolution to bolster #PPP with an additional $250 billion.

Small businesses employ 56 million+ Americans. This is UNACCEPTABLE. https://t.co/Tzftl5yATF",2020-04-16 15:07:58
"The #PaycheckProtectionProgram runs out TODAY. @SpeakerPelosi and Sen. Minority Leader Schumer ALREADY agreed to the #PPP terms when we passed the CARES Act.

There's no reason to obfuscate and block this critical funding. It's time to put partisanship aside and pass funding NOW! https://t.co/1e56OnCfW5",2020-04-16 13:40:31
"Please keep Meadow View of Harrisonville in your prayers. The caring and courageous staff are providing loving care through this tough situation. Our community’s hearts and prayers are with the residents and everyone working tirelessly to care for them.
https://t.co/7RoloFzChW",2020-04-16 12:27:44
"No, you do not have to return your direct payment. 

The one-time stimulus check is yours to keep.",2020-04-16 01:22:58
"Small businesses are the backbone of the American economy, from the workers on assembly lines in Sedalia and Lebanon, in the bustling restaurants/shops in Columbia and Clinton, to our farms and ranches.

It’s time to refund the #PaycheckProtectionProgram

https://t.co/gBoqBLtwuw",2020-04-15 16:51:12
"#China must be held accountable for their lies and cover-up regarding #coronavirus. Their deceit has killed Americans and around the world, crippling our economy.

We MUST work to reduce our dependency on China, ESPECIALLY for our pharmaceuticals and basic medical equipment.",2020-04-14 23:56:28
"The #PaycheckProtectionProgram is keeping small businesses afloat and employees on the payroll as we face the #coronavirus battle.

It's time for @SpeakerPelosi, @SenSchumer and Democrats to work with @realDonaldTrump on a clean bill to bolster PPP funds.

https://t.co/a86G385HKO",2020-04-14 15:53:27
"I'm pleased to see the federal government's response to the #coronavirus is finally taking shape for Missouri's hospitals:

5,000+ Missouri health care providers, totaling ~$618.6 million, were paid through the first disbursement for hospitals under the CARES Act.",2020-04-13 15:36:06
"Today is the most holy day for Christians. We celebrate that Jesus arose from the dead conquering death, sin, and hopelessness; He lives as our Friend, Savior, &amp; Advocate today.

He is Risen! Have a Blessed Easter! #HappyEaster https://t.co/iQtzKofU3d",2020-04-12 17:09:27
"While the sad recent events remind us of our mortality, #Easter reminds us #Jesus made a way for us to overcome the troubles of this life and live with him forever. #sograteful 🌸 https://t.co/86gZ8TQT0F",2020-04-12 00:04:41
#GoodFriday https://t.co/JZ0oaB15Bv,2020-04-10 13:39:20
