tweet,dates
"Proverbs 23:22-25 “Let your father and mother be glad; let her who bore you rejoice.”

Happy Mother’s Day to all of the incredible mothers out there! https://t.co/BEiQboEhHs",2020-05-10 15:02:26
"From day one, the left has tried to do everything possible to stop @realDonaldTrump from exposing their lies and the power-hungry deep state.

The Joe Biden and Obama-era swamp lost another fight today. And the American people won. 🇺🇸",2020-05-07 20:09:27
"Does this really surprise anyone?

First, the #CCP tried to cover up their role in the spread of the virus and now they are trying to profit off of their faulty products.

It is clear we can't trust their information and low standards any longer.

https://t.co/HIHOcfCmVS",2020-05-07 17:56:59
"Our goal is to keep America safe, healthy, and secure. 

Pelosi’s goal is to use this pandemic to try and baselessly attack @realdonaldtrump

Thousands are dead and she is focused on one thing: revenge for her many failures.",2020-05-07 16:45:15
"On this National Day of Prayer, I am praying for our country, our leaders, our military, our healthcare workers on the front lines of the pandemic, for this pandemic to spark a revival and return to God, for our children and for our pastors and church leaders.",2020-05-07 14:32:55
"Now more than ever, we should all take time to thank our nurses and health care professionals. Their impressive care and dedication on the front lines have led us through these unprecedented times and continue to provide hope for a healthy future. https://t.co/Ntbc6iTzER",2020-05-06 23:30:00
"HAPPENING NOW: Tune in to my virtual town hall 
https://t.co/VZ4q9pcB58",2020-05-06 14:03:45
"Serving on the Judiciary Committee, I have seen @RepRatcliffe's intellect and capabilities firsthand.

At a time when intelligence is being politicized, our country needs a trusted DNI to uphold the Constitution and keep us safe - and John is the right man for that job.",2020-05-05 14:10:01
"Many corporations with alternative financing mechanisms took PPP funding first, and as a result, small businesses are having to shut their doors.
 
I sent a letter to Secretary Steve Mnuchin asking that he have large corporations return the money.
 
https://t.co/Ms9lPJ7QoV",2020-05-04 19:00:30
"As Florida begins to reopen today, I want to thank @GovRonDeSantis for safely guiding our state into recovery. 

Your actions throughout this crisis saved many lives, and we are grateful to you. Thank you Governor for your effective leadership during this crisis.",2020-05-04 16:15:30
"It seems like House Republicans are the only ones willing to go back to work. 

While the Senate reopens and Pelosi flip flops between opening dates, @GOPLeader released a plan to safely restore the voice of the people. 

Pelosi need to stop stalling and bring the House back now.",2020-05-04 14:30:34
"The #PaycheckProtectionProgram has now processed an additional 2.2 million loans since April 27.

As Florida begins to lift our lockdown today, we are thankful for these loans that have helped so many of our small businesses prepare to reopen their doors in the future.",2020-05-04 14:09:59
"The investigation into General Flynn was a political takedown orchestrated from the very top. Joe Biden, James Comey and Obama officials need to answer for their role in this meeting and plot.

https://t.co/7RFSeaEFGf",2020-05-02 15:39:10
"Our elections should be held to the highest ethical standards and federal officials should be serving the people, not lining their own pockets. 

Today, I introduced a bill to prevent the corrupt use of campaign funds. Learn more here: https://t.co/moBBZzmwRZ",2020-05-01 21:22:14
"Today Governor DeSantis announced that all Florida state parks will reopen beginning on Monday, May 4th. Social distancing is still encouraged while you enjoy the great Florida outdoors!",2020-05-01 18:32:40
"Some states are asking for more federal funding. Congress has already given them $765 billion.

Their debt has nothing to do with COVID-19, but their out-of-control pension systems and mismanaged legislatures.",2020-05-01 14:56:35
"Today, I sent a letter to the House Oversight and Judiciary Committees requesting hearings for @Comey to come testify under oath about his deep state stunt designed to attack General Flynn and President Trump.

Read more here:
https://t.co/U2ggyEzHS2",2020-04-30 23:18:39
"Though important, this is bigger than General Flynn being mistreated. It's the deep state covering its tracks. Gen. Flynn was inside of the Obama admin and called them out for politicizing the intel community. They knew their failures would be exposed unless they took him down.",2020-04-30 15:38:25
"The FBI documents show an abuse of our intelligence and legal systems to set up General Flynn, a decorated patriot. 

This deep state stunt was designed to attack the Admin and @realDonaldTrump from the beginning.

Comey needs to testify in front of Congress and explain himself.",2020-04-30 12:35:48
"Today I held a virtual town hall with the Hardee and DeSoto County Chambers of Commerce, @alzfel , and then spoke with @aarp about how to best serve our seniors during COVID-19. These times are difficult, but we are here to answer your questions. https://t.co/vnQxVNbSjZ",2020-04-29 23:00:00
"LIVE NEWS ALERT 🚨 
I’m joining @foxbusiness tonight at 6pm to discuss reopening America’s economy",2020-04-29 22:02:34
"Lee Country beaches will open up this Wednesday. Following CDC social distancing guidelines is encouraged 

https://t.co/rurS0aoH7B",2020-04-28 18:31:58
"Great to see @GovRonDeSantis in the Oval Office today. With our strong federal, state and local leadership, we will be able to put Florida on a quick road to recovery. #FlaPol",2020-04-28 16:39:19
Hospital Highlight of the Day: Thank you to @LehighRegional We appreciate you taking care of us when we need it most https://t.co/LEXyG79MDk,2020-04-28 00:24:05
"Dr. Li Wenliang bravely risked his safety to warn the public about COVID-19 despite the punishment he faced from Communist China for speaking up. I cosponsored the Dr. Li Wenliang Congressional Gold Medal Act to recognize his bravery and global service. 
https://t.co/MxE9vZgZvq",2020-04-27 16:47:08
"Hospital Highlight of the Day: Thank you to the staff at Bartow Regional Medical Center! You have been taking care of our community for decades, and we know that we are in good hands with you now. https://t.co/CVeSU5oUIK",2020-04-26 00:04:17
