tweet,dates
"Don't forget to wish the mothers and grandmothers in your life a #HappyMothersDay! Your love and guidance is a blessing to all those around you, especially during these times when mothers are pulling double and triple duty! https://t.co/KS7sv2XAL2",2020-05-10 13:17:44
"Honored to be invited by @realDonaldTrump to join this fine group at the @WhiteHouse yesterday to talk about reopening businesses, maintaining #CivilLiberties, &amp; keeping the dollar strong! https://t.co/0lFsEkO0pZ",2020-05-09 13:44:50
#SoundMoney Great catching up again ⁦@jimmyfailla⁩! #BBQ #Rocky  https://t.co/HN2ekWWGkt,2020-05-08 15:09:16
Hope you can tune in today! 📻 https://t.co/XTfpECVF0N,2020-05-07 15:40:14
My prayer for our country on this #NationalDayOfPrayer: https://t.co/35NMcNe4ei,2020-05-07 14:45:10
"Don't forget to say ""thank you"" to #nurses, especially those on the front lines of the #COVID19 pandemic. #ThankYouNurses https://t.co/tvk0c9tujJ",2020-05-06 16:44:58
A pleasure to join @cherylcasone on #FoxBusiness to talk about the need for greater transparency from #China and leveling the playing field for American businesses. Watch the  interview here: https://t.co/Zu46cyzaGH https://t.co/xXMYJhyeUO,2020-05-05 20:44:26
Important information here 👇 https://t.co/aTVf3MLmAA,2020-05-05 17:54:55
"My latest in @FoxNews:  We need to make Congress work again!  ""Speaker Pelosi is keeping House members home — and out of the negotiations. The American people, and every member of the House, should insist on fully functional representation."" https://t.co/fMPRXOLWsj",2020-05-05 12:07:58
ICYMI: @whiotv featured this #OH08 business' new plan to produce #PPE. https://t.co/R0iGEGlOLI,2020-05-04 13:34:37
#GoodNews: Atlantis Sportswear in #Piqua just installed 10 industrial sewing machines and hired 20 new employees to make Ohio-made cloth masks! #OH08 https://t.co/k9w5ecYxJQ,2020-05-03 19:55:49
"America is the land of opportunity! Individuals can &amp; do enjoy exceptional economic mobility, but macro trends show averages. Consider this explanation of monetary inflation’s middle-class impact where labor isn’t being inflated like securities.
#WealthGap https://t.co/OYVGuln5PD",2020-05-03 16:21:21
Leading the Presidential Salute Gun Battery was an incredible honor... Ready Battery! https://t.co/jk5zkUXkW0,2020-05-01 22:26:57
"Please participate in this poll. Money serves as a store of value and a means of exchange. To keep / make the US dollar sound, America should support:",2020-05-01 19:52:02
"I sent a letter, signed by 25 of my House colleagues, to ensure that more Main Street businesses will be eligible for Federal Reserve lending assistance. We just learned that the Fed is going to make sure this happens! #GoodNews https://t.co/8uyv1jvCjg https://t.co/vYXo5HVBm8",2020-04-30 15:54:49
"Honored to join @MaryVought to highlight the @DNC shift: 
""[Biden's] campaign’s platform now speaks of “protect[ing] the constitutional right to abortion” and “repealing the Hyde Amendment.” The end result of this proposed Biden-Pelosi agenda: Taxpayer-funded abortion on demand."" https://t.co/BlhrxPpkGR",2020-04-30 14:16:45
Hope you can tune in this morning! https://t.co/5RLh2ZJc6K,2020-04-30 12:32:42
"No American should lose essential liberty for fleeting security. Once surrendered, freedom is hard to reclaim.
Also, once big-tech has your data, it's hard to reclaim.... but it should be easy, free, and enforceable. Congress must pass comprehensive data privacy legislation. #4A https://t.co/7fdPl6sv1X",2020-04-29 19:58:30
"For recovery to take hold, people will need to move from their present fear to knowledgeable confidence about how to safely resume as many activities as possible. There is no way to grow the economy without consumer confidence and a returning, confident, and productive workforce. https://t.co/Ghg0Whv1JK",2020-04-29 18:53:23
"#DefendFreedom I'm encouraged by the DOJ.. But: the House needs to be fully functional for debate, amendment, and voting. Every single Member of Congress should have germaine amendments considered, debated, and voted on in full compliance with House rules.
https://t.co/ob8deucLhO",2020-04-28 16:09:17
"#GoodNews DOJ is taking action to #DefendFreedom
No American should lose essential liberty for fleeting security. Once surrendered, freedom is hard to reclaim. The expansion and abuse of FISA under the Patriot Act provides a cautionary tale. 
https://t.co/VMtT9CuBPH",2020-04-28 13:54:42
Go Circus! #C2 https://t.co/yPixLd0PJE,2020-04-28 02:37:19
"I beg to differ! The introductory cost is already approaching $3-trillion. Clearly, there is no substitute for a market-driven economy... #DefendFreedom https://t.co/t1dfJgG1wH",2020-04-27 22:59:48
#GoodNews! https://t.co/Rqqq8GBHw8,2020-04-27 21:26:28
"Vote by mail systems require more safeguards...

A 2012 report in The New York Times noted that voter fraud involving mail-in ballots “is vastly more prevalent than the in-person voting fraud...”

#NoThanksNancy 
voter ID, no harvesting, states operate... https://t.co/kTbMN3k5fg",2020-04-27 18:29:21
In the midst of tough circumstances... #GoodNews https://t.co/VZI8umqd6P,2020-04-26 22:44:35
"#GoodNews If you can, consider helping a charity.
“As the need for charitable gifts grows, the CARES Act ushers in changes affecting retirees, non-itemizers, and heavy givers.”
https://t.co/U1zvOY6VCO",2020-04-25 10:57:48
"The #PaycheckProtectionProgram by the numbers:
◾ Reached 1.6 million small businesses, nonprofits, veterans orgs, independent contractors, and sole proprietors across the US
◾ 74% of loans were for amounts under $150,000
◾ 80% of loans were approved by local community banks https://t.co/VVsRDFx6Bn",2020-04-23 22:58:23
"Congress needs to lead by example and get into full session. We must do it safely, but Americans deserve a fully functional legislature, laser-focused on #COVID19, in full compliance with the House rules for debate, amendment, and voting. https://t.co/VC3rBSoEI7",2020-04-23 19:26:52
