tweet,dates
"The Taliban, just like the Chinese Communist Party and the Kremlin, is using the #COVID19 pandemic to advance their own goals while jeopardizing the lives of innocent civilians. 

https://t.co/WYNz2L7Vjg",2020-05-08 19:01:02
.@RepRatcliffe’s experience as a U.S. Attorney and cybersecurity expert in Congress is what we need in someone representing the men and women in the intelligence community. I joined @foxandfriends to discuss why my friend and colleague should be the next DNI. https://t.co/9r12TPsdWM,2020-05-06 13:23:37
"American adversaries are using hackers to steal info and harm efforts to combat #COVID19. 
 
This is insane. 
 
This is what oppressive governments do when seeking global dominance. 
 
https://t.co/Q8oxpIxWQh",2020-05-05 20:36:42
"Our next DNI must have knowledge in cyber security, an ability to prevent lone wolf terrorist attacks &amp; the ability ensure our country is ready for the next global crisis. That person is @RepRatcliffe. 
 
He is the leader our intelligence community needs.

https://t.co/46A0JAcTQC",2020-05-05 20:19:08
"Now, more than ever before, at a time when intelligence is being politicized by both sides in Washington, the brave and resilient men and women of the intelligence community need a smart leader with a steady hand. That person is my friend @RepRatcliffe .",2020-05-05 14:35:46
"If @RepRatcliffe had been in Congress during the time I was an undercover CIA agent &amp; I’d had the fortune to meet him, I would have stayed in the CIA because I would have found someone I trusted to make our nation’s laws &amp; support what we were doing.

https://t.co/46A0JAcTQC",2020-05-05 14:01:36
"The Iranian regime has shown disregard for global stability and even the lives of their own people. They’ve proven they can’t be trusted. Keeping the @UN arms embargo is paramount to global security, which is why I joined @RepMcCaul in calling for its extension.",2020-05-04 21:58:51
"Non-profits &amp; charities have fed &amp; cared for our neighbors throughout this crisis. 
 
I, along with my colleagues Rep. Seth Moulton &amp; @RepBrianFitz, wrote Congressional leaders calling for extra aid to these organizations providing life-saving help to our friends &amp; neighbors.",2020-04-30 22:53:00
"One of America's first drug tests on people to fight #COVID19 is happening here in Texas.

This is great progress and American innovation at its finest. 

Incredible work by fellow Texans and Aggies. 
 
https://t.co/2nUr3cpiKi",2020-04-30 21:33:07
"Listen to @chefjoseandres! Wear a mask when you go out, and keep practicing social distancing even as our communities open up. This can help save lives. https://t.co/zHpJlo2DaE",2020-04-29 19:39:00
"The Chinese Communist Party is using #COVID19 to exert global power in an attempt to surpass the U.S. as a world super power. 
For decades, many of our allies failed to realize the severity of the threat the CCP posed, but #COVID19 has been a wakeup call.
https://t.co/BUhgLVEocG",2020-04-29 18:18:04
"I'm joining @kilmeade's radio show this morning to discuss China's #COVID19 action, or rather inaction. 

Tune in to @foxnewsradio at 9:30 ct.",2020-04-29 13:56:43
".@globalfund has made incredible progress globally fighting AIDS, TB &amp; Malaria. With the outbreak of #COVID19, they're facing a new battle that threatens this progress. 
 
I, along with @RepBarbaraLee &amp; @RepMarthaRoby, are calling for $1B to the fund to help fight #COVID19.",2020-04-28 20:59:25
"The Chinese Communist Party wants to set the standards for advanced technologies around the world, stacking the deck against the U.S. &amp; our allies. We must ensure democratic, not authoritarian values guide the development of technologies like AI and 5G.
 
https://t.co/DC6vtlgSf4",2020-04-28 15:44:27
"China must uphold its international commitments, including its guarantee of Hong Kong’s autonomy. 
 
https://t.co/m8OsurdNqr",2020-04-25 13:22:00
"The Armenian Genocide was the political destruction and starvation of more than 1.5 million people. Today, on Armenian Genocide Remembrance Day, we must all remember this dark history, pray for those lost &amp; commit to never again allow a tragedy like this.
https://t.co/Qkox746XFa",2020-04-24 21:22:00
"🚨Great News for Rural Hospitals🚨 

Hospitals that are partially owned by state or local or governments are now eligible for the #PaycheckProtectionProgram. 

This additional funding could help patients and health care workers in our rural areas.",2020-04-24 21:01:31
"Farmers feed &amp; fuel America no matter the crisis. But, today, many producers are hurting, especially those who rely on the production of one agricultural product. A bipartisan group &amp; I wrote the president calling for more help to farmers.",2020-04-24 19:49:53
"Now is far from the time for China to exert their force over other countries. 
 
Stop using #COVID19 to help yourselves. Your image campaign failed, your attempts to blame the U.S. failed, and this will inevitably fail as well. 
 
https://t.co/JPirwM0mO2",2020-04-24 17:14:00
"The Chinese Communist Party's misinformation campaign and failures on #COVID19 will have shockwaves around the world. This can and will continue to affect their role across the globe.
 
https://t.co/5qMcHmc2tF",2020-04-24 16:02:00
"The #PaycheckProtectionProgram goes a long way to help hundreds of thousands of small businesses keep people on their payroll. And, it's a program built by bipartisanship.

Learn more by watching my interview on @MSNBC with @AymanM 📺➡️ https://t.co/F7WnDVugSH",2020-04-24 15:24:49
"As early as February, there were messages in China trying to tie #COVID19 to the U.S. 
 
It's outrageous the Chinese Communist Party continues to falsely blame the U.S. for #COVID19 while also spreading deadly information about the virus. 
 
https://t.co/ngmZcWIoIT",2020-04-24 15:10:00
📺Tune in to @MSNBC at 9:35 CT this morning. I'm joining @AymanM to talk #COVID19. 📺,2020-04-24 14:10:00
"American companies lead the world in innovation. 

This week many of those leaders, @IBM, @HP, @Microsoft, @Amazon &amp; others, signed the #OpenCOVIDPledge.

This commitment to idea sharing may be key to a #COVID19 cure. I applaud these companies' efforts.

https://t.co/vESaaTRR7s",2020-04-24 13:41:53
"In Texas, 134,700 small businesses have received #PPP loans amounting to more than $28.4 billion. Almost 75% of all PPP loans requested were for $150,000 or less. This money has and will continue to save jobs. https://t.co/OIhga92Ozj",2020-04-23 22:19:38
"Good news ➡️➡️➡️Because of the #CARESAct, @HHS is awarding more than $39 million in aid to Texas to help respond to #COVID19. https://t.co/juzArQs1NT",2020-04-23 21:27:57
"This includes incredible scientists right here in #TX23, like those at @UTSA studying molecular compounds. The efforts here and across the U.S. have the potential to create a vaccine or a treatment for #COVID19. 
 
https://t.co/Rzyv1BSglV https://t.co/pnaywktyq2",2020-04-23 21:20:37
"Manufacturers, Creators, First Responders. 

These are the everyday heroes keeping America safe and moving. 
 
Thank you to each and every one of you for going out to make a difference. https://t.co/CkwK3t01Pr",2020-04-23 16:49:00
"Another business is stepping up to thank the incredible people taking care of our communities. 
 
@McDonalds is providing free #ThankYouMeals to health care workers and first responders   until May 5.
 
https://t.co/dhAW8CR41B",2020-04-23 15:57:16
"Misinformation on #COVID19 has literally killed people around the world.
 
Tehran, the Kremlin &amp; the Chinese Communist Party must stop trying to hurt others and focus on helping their own citizens. 
 
https://t.co/DHaC0G6f1j",2020-04-22 20:16:42
