tweet,dates
"I joined @RepArmstrongND and @SteveScalise in writing to @TheJusticeDept to oppose nationwide injunctions by district judges. In the case of NWP 12, tens of thousands of projects for drinking water, cable, utilities, and more will be unnecessarily delayed. https://t.co/cCGHoGPOHA",2020-05-08 18:12:54
"President @realDonaldTrump has declared today a National Day of Prayer. Today we come together to pray for everyone who has lost friends or loved ones from COVID-19, our health care workers and first responders, and strength as we recover from this pandemic.",2020-05-07 20:44:29
"Thanks to President @realDonaldTrump and his administration, the U.S. is performing millions of more tests than other countries. Our increased testing capacity is critical as we reopen the economy and continue to fight #COVID19. https://t.co/1gOTDhWsfk",2020-05-06 23:41:07
Small banks and community lenders—including those here in South Carolina—have stepped up to the plate to ensure small businesses across the country are able to participate in the Paycheck Protection Program. https://t.co/No3iu8oelO,2020-05-06 22:42:54
.@RepRatcliffe has a strong record of upholding and enforcing the law. He will serve our nation well as the next Director of National Intelligence. I look forward to his swift confirmation by the Senate.,2020-05-06 18:57:44
"On #NationalNursesDay, we want to say thank you to the nurses on the frontlines caring for our loved ones during this pandemic. We are grateful for each and every one of you. During Nurses Appreciation Week, please join us in saying #ThankYouNurses! https://t.co/0tO78wgA9M",2020-05-06 18:16:46
State Senator @scottftalley and I will be hosting a telephone town hall at 6pm tonight. Join us by calling 844-227-7559. We look forward to hearing from you! https://t.co/unLMfzBM7C,2020-05-05 21:34:26
"Tonight, @scottftalley and I will be hosting a telephone town hall to answer your questions on COVID-19, small business issues, South Carolina’s path forward, and more. Join us at 6pm tonight by calling 844-227-7559. We look forward to hearing from you!",2020-05-05 17:02:39
Firefighters dedicate their lives to protecting our safety. Thank you to these brave men and women who run towards danger to keep us safe. #InternationalFirefightersDay https://t.co/9C7SSmuu9D,2020-05-04 23:58:55
"Governor @henrymcmaster has declared today a statewide day of prayer. I pray for those who have lost loved ones from this virus, our frontline workers who work tirelessly each day, and for our state as we recover from this pandemic. Through Him, may we emerge stronger than ever.",2020-05-03 16:47:45
