tweet,dates
"New Mexico seniors &amp; caregivers, here are some important phone numbers and resources during this difficult time. If you're not sure where to start, NM Department of Aging and Long-Term Services also has a chat box to connect. https://t.co/iiW2cPjFhx https://t.co/PzW0ceijfL",2020-05-10 16:40:07
"Congratulations to our @nmjc Class of 2020 Graduates! You have worked hard for this day, and I am proud of you and all you've done. Although we celebrate our seniors physically apart tonight, our community will get through this together.

https://t.co/UT2804ZNGR",2020-05-10 01:00:28
"The deadline for the 2020 Congressional Art Competition deadline is Friday, May 15th! During this difficult time, art can be a powerful tool for expression and healing. 

NM high schoolers, find details on submissions here: https://t.co/rCm0yhuvvS",2020-05-09 20:40:04
"ICYMI: NM's state insurance office call center (1-833-415-0566, Mon-Saturday from 8am to 6pm) can provide quick answers on issues like:

➡️ COVID-19 testing and treatment
➡️ Health insurance coverage
➡️ How to resolve surprise billing
➡️ Appealing an insurance decision",2020-05-09 16:20:05
"COVID-19 proves why access to good, reliable internet is critical for our communities. This funding will help connect families to the resources they need during this public health emergency and beyond. More here: https://t.co/AvtFI7siRO https://t.co/Id9PB0Bd23",2020-05-09 00:35:31
Great resource for students during this difficult time. https://t.co/xfr5hiB2xX,2020-05-08 00:42:52
"I called on the Administration to reserve funding for rural hospitals w/ the NM Delegation. Now, $114 M from the CARES Act is on its way to NM. However, the unprecedented strain continues &amp; I'm working to ensure providers have access to additional funding. https://t.co/qmCLPSQz7y https://t.co/k5rOY3Lwr9",2020-05-07 01:15:06
"Our nurses work around the clock w/ limited resources to protect our families &amp; neighbors. I'm fighting to make sure nurses working in all corners of NM are supported. 

This year, you can help honor our dedicated nurses across the state: https://t.co/gjaL5ehoLI #ThankNMNurses",2020-05-07 00:45:04
"While small biz across #NM02 navigate federal resources like PPP &amp; EIDL, @NMSBDCNetwork is hosting live, free training events. Register for webinars on cash flow analysis, Pandemic Unemployment Assistance, CARES Act &amp; NM State Assistance, &amp; more here. https://t.co/Bhgj8TNKJd",2020-05-07 00:10:02
".@RepHuffman &amp; I called on CMS to cover care provided via phone. I'm pleased to share guidance was expanded, helping countless healthcare providers who work around the clock to provide care to rural residents who lack good, reliable internet service. https://t.co/oUwSnOLwP9",2020-05-05 23:45:04
These challenging times have reminded us of the incredible value of our teachers. This #TeacherAppreciationDay we thank our teachers who are going above &amp; beyond to serve students. It's critical we continue to provide our educators with the federal resources &amp; support they need. https://t.co/GwKUUhYgtB,2020-05-05 22:18:25
"Farmers &amp; producers: Applications are now open for EIDL. I fought to make sure our agriculture industry was included in the latest round of relief, and this week, applications re-opened. Those who need assistance can apply directly here: https://t.co/z8jHFuhPds https://t.co/3yFBLGsXfq",2020-05-05 19:15:11
"Native American women &amp; girls face violence at alarming rates. In NM, addressing the #MMIW crisis is critical. In Oct., I was proud to collaborate w/ Reps. Torres, Newhouse, and Haaland &amp; cosponsor Savanna's Act. Today, we continue to raise awareness. https://t.co/7YbUjBecsY",2020-05-05 18:03:01
Congratulations to our high school seniors committed to pursuing STEM careers. I wish you the best of luck in your academic endeavors &amp; I am proud to be your Congresswoman! #NMSTEMSigningDay2020 https://t.co/q8PF10hvxF,2020-05-05 00:01:16
"NM's state insurance office launched a call center (1-833-415-0566, Mon-Saturday from 8am to 6pm) to provide quick answers on issues like:

➡️ COVID-19 testing and treatment
➡️ Health insurance coverage
➡️ How to resolve surprise billing
➡️ Appealing an insurance decision https://t.co/MphH2Up0hO",2020-05-04 23:04:50
"Starting tonight: My office is partnering w/ our nation's military service academies to host info sessions May 4-7 for middle &amp; HS students &amp; recent grads interested in serving their country: https://t.co/1cVu6GhjZ2 

It is an honor to nominate some of the best &amp; brightest in NM.",2020-05-04 20:10:07
"(1/2) Despite hundreds of billions of dollars being loaned through the PPP, there are still too many small biz in southern NM who still haven't received relief &amp; are worried if they ever will.",2020-05-04 18:28:23
"Don't forget to update: @IRSnews requires VA, SSI beneficiaries w/ children who are not typically required to file a tax return &amp; did not previously need to take further action to receive their recovery rebates to update their info 5/5 to include children https://t.co/8PvdRotxaP",2020-05-03 15:13:07
"We're 2 weeks away from the deadline for the 2020 Congressional Art Competition deadline, May 15th! I'm looking forward to seeing what our HS students submit. Our office is accepting digital submissions &amp; you can find updated details here. https://t.co/ziAyHbFSAk",2020-05-02 19:25:03
New Mexico is committed to feeding our children during this difficult time. Find updates on meal sites through May 22nd here. ➡️ https://t.co/9Etno6jjRN,2020-05-02 17:17:48
"In the 1st round of relief, an undue number of NM small biz were crowded out by larger orgs. In an effort to prevent this from happening again, I fought to ensure that the latest round of relief, which started this week, dedicated money to small &amp; community lenders. https://t.co/bkxWR82DjW",2020-05-02 00:20:03
"Recovery Rebate Update: Starting Mon, @irsgov will begin issuing paper checks to those who filed taxes. Early May, the Treasury Department estimates folks on SS or Railroad Retirement beneficiaries will start to receive payments. See helpful tool: https://t.co/zkjb2zheWZ",2020-05-01 23:20:03
"County governments in rural communities rely on programs like SRS &amp; PILT that have passed previously w/ bipartisan support. Congress must ensure the next relief package includes funding for roads, schools, &amp; public health programs to support our local gov: https://t.co/hjKR7eSobz https://t.co/tYmupNKqiF",2020-05-01 22:11:42
"My office will partner with our nation's military service academies to host info sessions May 4-7 for middle &amp; high school students &amp; recent grads interested in serving their country: https://t.co/x2aXETSomd 

It is an honor to nominate some of the best &amp; brightest New Mexicans.",2020-04-29 23:05:04
"Self-employed, independent contractors, &amp; gig economy workers: PUA applications are now open. @NMDWS created a helpful infographic on Unemployment Insurance benefits below, and my office is also here to help navigate the process. https://t.co/RvB0LVufxZ https://t.co/f8NstDjbRl",2020-04-29 22:05:05
"There's still time to sign up! Tonight at 7:10pm MT, I'm hosting a Telephone Town Hall with public health experts, state officials, small business advisers to update you on the COVID-19 pandemic. https://t.co/FY2BCyoeov",2020-04-29 20:43:18
"Update: We've moved to digital submissions due May 15th. I know in NM we can create beauty out of the ordinary, whether that's turning a driveway into a canvass or using nature to create. I’m excited to see what our HS students come up with! https://t.co/rCm0yhuvvS",2020-04-29 01:20:05
"During one of the worst worker safety crises, we take a moment to honor those who have lost their lives or face serious injury &amp; illness at work. My team is always here to help if you need assistance with a federal agency: https://t.co/jDcMI2ughB #WorkersMemorialDay https://t.co/NxJw2Jhpy9",2020-04-29 00:50:05
"🚨 Essential workers in Doña Ana: Tomorrow AM, @NMDOH is hosting a drive-up COVID-19 screening site for all essential workers at LC Public Health Office (1170 N. Solano Dr.), 7am-12pm, while supplies last. 

Please note no insurance is required for screening.",2020-04-29 00:25:03
We need testing to support our frontline workers &amp; reopen NM's economy. This $6M in funding from the CARES Act will help NM expand testing and tracking capabilites across central &amp; southern NM. https://t.co/XOUTmIB2ef,2020-04-28 23:48:33
"Our farmers are resilient, but they are suffering. USDA took too long to roll out relief &amp; their proposed program, CFAP fails our farmers by placing a cap on the amount of assistance each farmer can receive. I led my colleagues in a bipartisan letter to the admin to expand CFAP. https://t.co/gRfIRJSYpl",2020-04-27 22:10:07
"Small Biz &amp; Farmers: Applications for @SBAgov's Paycheck Protection Program are open. Loans are distributed on a first-come-first-serve basis, so I encourage those who need assistance to apply ASAP. Pls reach out to my office if we can be of assistance! https://t.co/ypE8UOlJmb https://t.co/bvIAG0EZRL",2020-04-27 21:15:07
"On Wednesday night at 7:10pm MT, I'm hosting a Telephone Town Hall with public health experts, state officials, small business advisers to update you on the COVID-19 pandemic. Sign up here, and we will give you a call Wednesday evening.

https://t.co/ixVjSTYWUo https://t.co/LQL64VNqoC",2020-04-27 20:08:05
"Small biz are hurting &amp; I'm fighting to make sure NM gets its share. Last week, Congress secured $60B for rural communities, reserving funds for those who have been pushed to the back of the line. Applications open tomorrow (4/27) at 8:30am MT. https://t.co/5iUpIYVmbK https://t.co/n5fBEY3Z6B",2020-04-26 21:21:39
"Today I’m fighting to get my community, its small businesses, rural hospitals, and workers from all sectors, the relief it needs. There’s more work to be done. It’s critical we put partisan politics aside and take that next step together. https://t.co/KxspTmnHXJ",2020-04-23 23:44:25
"This #EarthDay – and every day – I'm fighting to protect our home so future generations can enjoy all that makes NM the Land of Enchantment, from the Organ Mountains and Sierra Blanca, to White Sands and Bosque del Apache, to the Gila Forest and the Rio Grande. https://t.co/xO1DVAK3Xu",2020-04-22 22:51:18
Don't forget to update: @IRSnews is requiring individuals w/ children who are not typically required to file a tax return &amp; did not previously need to take further action to receive their recovery rebates to update their info by 10am MT to include children https://t.co/8PvdRotxaP,2020-04-22 14:01:56
"For those missing spring-time exploration, the National Park Service put together a virtual tour of the Carlsbad Caverns. Join one of our park rangers this weekend and discover all our hidden caverns! https://t.co/JECN1khRMA",2020-04-19 16:40:04
"While families across New Mexico are adjusting to learning at-home, NMPS, PBS, &amp; APS are teaming up to create additional learning videos for kids in English &amp; Spanish. More details —&gt; https://t.co/tH1VU7w3y8",2020-04-18 20:40:06
"There have been reports of scammers looking to take advantage of the current public health crisis. Be cautious of:
🚫 Unsolicited requests for Medicare/Medicaid #s
🚫 Unexpected calls offering COVID-19 tests
🚫 Offers or ads for COVID-19 testing 
https://t.co/na0rtYli38",2020-04-18 18:15:09
"With so much information circulating, my team is here to help navigate. Many New Mexicans will start to receive recovery rebates this week. Pls note that these payments are not subject to federal income tax &amp; will not take from your typical refund next yr. https://t.co/7SJnTwZFcx",2020-04-18 00:15:04
".@IRSnews recently announced Supplemental Security Income Beneficiaries will now receive recovery rebates automatically, without needing to take any further action. Please reach out to my office if you have any questions or concerns about this! https://t.co/0pRBdqZ1tI",2020-04-17 23:30:11
Our rural communities are hurting. I led a bicameral effort with @repdelgado and @SenAmyKlobuchar calling on @USDA to establish a COVID-19 Rural Task Force. Read why I believe this is necessary to make sure rural communities aren't silenced during the COVID19 response. https://t.co/752rKT7oRE,2020-04-17 22:31:31
"(1/2) My top priorities are New Mexican families and biz owners. I'm calling on @USTreasury to prioritize families too. Right now, recovery checks could get seized by banks instead of going to communities &amp; families in need. https://t.co/mQwKGD8Z0O",2020-04-16 16:59:09
"(1/2) As we face COVID-19 together, New Mexicans are hurting. We’re having to fight to keep our families safe and our lives together. Unemployment is on the rise as small businesses struggle to keep their doors open. https://t.co/FrJLOwhQW6",2020-04-15 23:27:49
"This challenging time shows how much we rely on each other. If you know someone who is working to help others in our community, please share with me &amp; my team here. I'd love to hear from you. https://t.co/lM3cHw4CWY",2020-04-15 01:20:03
"This week, many families across New Mexico will start to receive recovery rebates from the IRS. Please be wary of fake IRS emails, calls, texts in addition to claims that you can get money faster by sharing personal information. See more: https://t.co/irzPXCxiMz",2020-04-15 00:45:03
"ICYMI: As you plan your day tomorrow, @NewMexicoAging shared several Senior Hours for grocery shopping at stores across the district. Thank you to the businesses in our communities striving to find solutions to protect seniors. See more details here: https://t.co/BY7LL7AIRg",2020-04-14 23:50:03
"For some, staying home to slow the spread of COVID-19 brings additional risks. We need to protect our neighbors. 

The bipartisan #VAWA protects all survivors &amp; ensures DV &amp; sexual assault are recognized as crimes. It's critical Congress reauthorizes VAWA. https://t.co/byg0R8guAY",2020-04-14 00:10:03
"Farmers &amp; producers in #NM02 are working to feed our community while also tackling challenges from the current public health emergency. Now, our agriculture industry is also be eligible for PPP loans to help support payroll during this time. Details here: https://t.co/ypE8UOlJmb https://t.co/Kzyk2RwezJ",2020-04-13 23:15:06
Proud of our Aggies at @nmsu who are using their creativity and skillset to protect our healthcare workers on the front lines. https://t.co/VnwvuvexGs,2020-04-13 21:13:04
