tweet,dates
".@CityofSanJose put together cards you can download &amp; print for #MothersDay w/photos from @sjparksandrec🌻 &amp; @HHPZoo🐒

➡️ https://t.co/W7jJdYXpOl ⬅️

Be sure to observe the #ShelterInPlace Order as you celebrate all our county's wonderful moms this weekend.",2020-05-08 19:15:01
".@SCCgov has new guidance for #COVID19 testing

➡️ https://t.co/9KDXKpvx23 ⬅️

Please take a look at this new website if you have questions about:
👥  who should get tested
📍  where to get tested
🧫  testing capacity &amp; expansions https://t.co/0WNbmp14i4",2020-05-07 15:04:46
"#NationalNursesWeek comes at a time when we're indebted to the heroic Americans protecting our communities.

This week, let's thank our nurses by making sure they have the resources they need to save lives &amp; keep themselves safe. https://t.co/pvBUe2HsJz",2020-05-06 16:14:47
"Are you an essential working struggling to find childcare during the pandemic?

@CAPublicHealth has a new online portal to help.

https://t.co/Lv6cWKsw2c https://t.co/mnnVi3P8vq",2020-05-05 20:51:10
".@HealthySCC has created multilingual videos about #COVID19.

Take a look at the playlist page to find the language series that you prefer: https://t.co/j98UPIYtbL",2020-05-05 19:14:30
"ICYMI

There’s a *new* Shelter-In-Place Order in Santa Clara County as of yesterday.

It replaces the March 31st Order, with the allowance for some low-risk activities to resume.

Details here ⤵️
https://t.co/yDVxz91POZ",2020-05-05 16:17:15
"🗣️ Our state wants your input 🗣️ 

@CAgovernor @GavinNewsom is asking Californians to help by providing comments on the roadmap for community resiliency. This will inform how modifications are made to the #COVID19 Stay-at-Home order ⤵️

https://t.co/4gqUCnYu8K",2020-04-30 19:17:24
Reminder: This free job fair is going on now. https://t.co/lllK52Zkn0,2020-04-29 17:44:11
"Thank you Gilroy High School Chamber Singers for this lovely rendition of Imagine!
 
After our community suffered a tragic shooting at the Garlic Festival &amp; is now sheltering in place during this pandemic, I commend your effort to lift us up.
 
https://t.co/gyCSXq2NXP",2020-04-29 00:50:58
".@SBAgov resumed accepting Paycheck Protection Program applications from participating lenders yesterday. 

I've posted info for small businesses w/links to forms, FAQs &amp; more on my website: https://t.co/LM0EGphC5J",2020-04-28 18:43:15
"If you or someone you know is looking for a job, you can register for a Silicon Valley virtual job fair next Wednesday, April 29: https://t.co/g7EtjoA5bp 

🩺💻🏗️🚑🚓🛠️ https://t.co/JQAb6BuRQ5",2020-04-23 17:56:22
🚨 TODAY is the last day to add dependents if you're an SSA or RRB recipient 🚨 https://t.co/uXDIda1Ts7,2020-04-22 16:59:55
"ICYMI - Latest Santa Clara County #COVID19 fed relief:

🏫 $44.5M+ for @SJSU, @DeAnza_College, @OfficialEVC, @GavilanCollege, @SJCityCollege

✈️ $65.6M+ for @FlySJC

Glad our local families, workers, students &amp; businesses are starting to get this $$ to help meet community needs.",2020-04-17 18:34:06
"I'm concerned by reports that the Trump Administration is unfairly allocating funds to the benefit of big businesses, with millions for big corporations instead of Main Street.

More on my take on the rollout of the Paycheck Protection Program ⤵️
https://t.co/9iq3tItQmX",2020-04-17 15:42:31
"Have you filled out your #Census2020 yet? 

If you haven't, it just takes a few minutes &amp; helps our community access resources for hospitals 🏥, schools 📒 &amp; infrastructure🚅.

🖥️ https://t.co/kjcUJ1SPZk
📞844-330-2020
📝complete the form mailed to your address",2020-04-16 18:19:09
"I agree with @SpeakerPelosi.

Now more than ever, we need the truth. https://t.co/AAD5vQtlYs",2020-04-16 17:04:27
"I support the nurses fighting to protect women's services at Regional Medical Center in San Jose.

During this pandemic, we should be expanding access to care, not stymieing options for working-class families.

Thank you @NationalNurses &amp; @CalNurses for the work you do every day.",2020-04-16 16:16:48
"Today, @IRSnews launched a new “Get My Payment” web application that can help some taxpayers receive direct rebates sooner.

This info &amp; more: https://t.co/U2fiUI7Wub",2020-04-15 21:07:16
"In Santa Clara County, job seekers can use work2future services to:
• find employers that are hiring
• attend digital job workshops
• receive free trainings &amp; career counseling

➡️https://t.co/gbpEHhno06⬅️",2020-04-15 20:07:58
"Free Silicon Valley webinars tomorrow 4/16:

• Milpitas Business Resiliency &amp; Recovery (9amPT) https://t.co/GSMicJJrDu 

• Keeping Public Transit Workers &amp; Riders Safe (10:30PT) https://t.co/ArrZfDeVMM 

• Pivoting Your Business to Survive (3pmPT) https://t.co/54maI3lQtd",2020-04-15 17:28:14
"NEIGHBORS: You can now dial 2-1-1 for #COVID19 answers all day, every day. https://t.co/SESf1LXRqi",2020-04-14 20:20:09
"⏰ Quick turnaround for nonprofits, colleges &amp; universities in Santa Clara County⏰

For the next 3 days, you can urge the Fed Reserve to include you in the 'Main Street' lending facility under the CARES Act. 

Use this link to comment by Thurs April 16⤵️
https://t.co/Ub0rlWiPJS",2020-04-14 16:14:05
"Thank you to faith leaders &amp; families around the area for following #shelterinplace orders while observing holidays this week. This is how we #flattenthecurve.
 
#ApartTogetherSCC https://t.co/e4EPr0JiDc",2020-04-13 21:31:56
"💻NEW PAGE FOR STUDENTS &amp; TEACHERS💻

There are tons of *free* digital resources for kids &amp; parents who are sheltering in place, &amp; #COVID19 emergency education-related info available for families.

I've put nat'l &amp; local resources in one place here⤵️
https://t.co/9FINcApZfc https://t.co/q7i2tI2NQ1",2020-04-10 16:02:57
"ICYMI: $3.6 million+ to fight #COVID19
 
More➡️https://t.co/0AQFkCDZdW https://t.co/VmEUXTsSKW",2020-04-09 20:58:00
"🚨ATTENTION SANTA CLARA COUNTY🚨

Please make sure to fill out this PPE &amp; ventilators survey by April 15th. https://t.co/IyXU2nlEP9",2020-04-09 19:11:12
"This is good news. Thank you Santa Clara County! 

Let's be cautiously optimistic &amp; keep these positive trends going. How? By continuing to follow the #COVID19 #ShelterInPlace orders &amp; the advice of medical professionals.

#ApartTogetherSCC https://t.co/HTIZvwlk1e",2020-04-09 16:08:57
".@SCCgov now has a #COVID19 hotline specifically for workers &amp; small businesses.

The Santa Clara County CAN hotline helps:
• Navigate safety net services (including w/application processes)
• Connect you w/legal aid attorneys

📞408-809-2124 https://t.co/TtZsqUjNue",2020-04-08 20:48:16
".@HealthySCC is currently seeking volunteers. 

If you're able to help in any way, I encourage you to fill out the Santa Clara County survey ⤵️
https://t.co/bFswKqyPCm https://t.co/YCWLaPsHpE",2020-04-08 16:59:11
"We. Need. To. Follow. Sound. Science.
 
Please read the below headline &amp; article, while keeping in mind that the Trump Administration just rolled back pollution rules.
 
It's unfathomable. https://t.co/GtsHKCPKvA",2020-04-07 17:31:06
"3/25: Senate passed CARES Act
3/27: House passage
..
10 days later: No loan $ in hands of small biz owners

Banks mostly just accepting applications while awaiting better guidance from Admin

Is a minimum level of hustle &amp; competence too much to ask from the Trump Administration?",2020-04-05 23:36:20
"While we’re sheltering in place in Santa Clara County, the #Census2020 count is in full swing.

Here’s a video from @SCCCensus about making sure everyone gets counted. #CensusDay https://t.co/RtOQ1i3tVB",2020-04-01 17:07:51
"Today is #CensusDay. 
 
Federal funding for our schools, roads, infrastructure, healthcare, &amp; more depends upon all Californians getting counted. 
 
You can stand up for our community by participating.
 
#2020Census⤵️ 
https://t.co/47KZeisVW2",2020-04-01 15:39:10
"On #CesarChavezDay, we honor the legacy of an inspirational leader who dedicated himself to workers in San Jose &amp; around the country.

During these trying times, we must support those who feed our nation. Let's do all we can to ensure farmworkers stay safe &amp; healthy.",2020-03-31 20:04:01
"On https://t.co/2ewUIa3gJV, you can find resources for:
🌎local, state, nat'l &amp; global experts
📄Congressional legislation
📝small business loans
🩺a testing pilot program
📞our SCC Tele-Town Hall",2020-03-30 15:48:14
"To the 27K #Dreamers working in dangerous situations amid your own personal uncertainty: thank you.
 
You play a vital role in our public health system &amp; our economic recovery. You deserve to be protected. https://t.co/4jNV2d75jx",2020-03-27 21:53:20
My statement on the third #COVID19 relief bill in Congress: https://t.co/A5W33b1GW1,2020-03-27 16:20:58
"We owe a debt of gratitude to our health care workers who have been on the front lines during this pandemic.
 
Pictured below: Drive-thru testing in Santa Clara County.
#COVID19 #ThankYouHealthCareWorkers https://t.co/ksbsqump2T",2020-03-26 16:27:28
"Thanks to all who participated in our Tele-Town Hall yesterday on #COVID19 in SCC w/@HealthySCC @RepAnnaEshoo @RepJimmyPanetta @RepRoKhanna

Hundreds of Qs came in, so please bear w/us as we work to get back to you

If you missed it, you can listen below⤵️
https://t.co/z70ghsB2Gk",2020-03-25 16:51:15
"TODAY @ 1pmPT we're hosting a Tele-Town Hall on #COVID19 in Santa Clara County. We hope you'll join us.

📞855-962-1194
@RepAnnaEshoo 
@RepJimmyPanetta 
@RepRoKhanna 
@HealthySCC https://t.co/Usv2xAFB85",2020-03-24 14:41:15
"We'll be taking your questions during a Tele-Town Hall on #COVID19 in Santa Clara County tomorrow, March 24 @ 1pmPT.

📞855-962-1194
@RepAnnaEshoo 
@RepJimmyPanetta 
@RepRoKhanna 
@HealthySCC https://t.co/2AA9sUxBz2",2020-03-23 19:29:25
"Join us on Tuesday March 24 @ 1pmPT for a Tele-Town Hall on #COVID19 in Santa Clara County.

📞855-962-1194
@RepAnnaEshoo 
@RepJimmyPanetta 
@RepRoKhanna 
@HealthySCC https://t.co/yJPZ1hdxLL",2020-03-22 19:58:34
"If you’re a high risk individual in Santa Clara County &amp; want to get tested for #COVID19, you can see if you qualify through this online screener launched by the @CAPublicHealth in partnership with Verily. 
 
It's a pilot program for only two counties⤵️
https://t.co/2IN6wdEdZD",2020-03-20 17:59:47
